"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1",-0.6204426124781,-0.622259539130851,-0.620099554914259,-0.614924390929134,-0.623115431320761,-0.62412492110663,-0.620726506186216,-0.622654330149025,-0.619223694081132,-0.624937767094866,-0.618012788387038,-0.619340353759504,-0.615992845997575,-0.621556255499722,-0.616155967743843,-0.619055662636049,-0.616207597974384,-0.626213477308848,-0.61779418253664,-0.621092699851342,-0.614495957539703,-0.614348771660262,-0.621707604746364,-0.619794197823674,-0.62440404709514,-0.623262463469162,-0.619246560609881,-0.623127198080843,-0.617892141632704,-0.620823624694551,-0.619124939403623,-0.617187914974822,-0.61831058469465,-0.618546098658139,-0.613588217804706,-0.617905656813091,-0.624175965450998,-0.627594318880209,-0.615355744190335,-0.621058454397592,-0.622777173986144,-0.622532888323901,-0.618899562378257,-0.620036424609003,-0.616928098761474,-0.61649913475637,-0.613666157549196,-0.618118186867611,-0.620451897470947,-0.61568608099255,-0.619405032084664,-0.619452807772594,-0.619598792304096,-0.624148452019576,-0.621853785228459,-0.622572038226236,-0.62144978971943,-0.617714070825775,-0.624724183844346,-0.617196623469424,-0.621419670674045,-0.620231024664673,-0.621379135210143,-0.619559403751278,-0.621028488003741
"2",-0.620042924970491,-0.620181700494506,-0.623933272856157,-0.621262624733849,-0.612335660927613,-0.623420134638865,-0.623362105216682,-0.622687268372912,-0.620235817440277,-0.621799999760479,-0.6234374342179,-0.621333244761559,-0.617175749340841,-0.621476887781342,-0.613959956370748,-0.616336913102084,-0.616124625329934,-0.618312229910609,-0.621199228144224,-0.617350795726662,-0.62254807343716,-0.618223648338975,-0.6238529031944,-0.617277358279607,-0.621208391627819,-0.619448256967979,-0.62049103350353,-0.62493626805588,-0.615565552673081,-0.622198775228288,-0.622025960320814,-0.616669659752426,-0.618868050802593,-0.612147265132591,-0.62051955378919,-0.61938412035451,-0.620338259849893,-0.626782114848202,-0.615890435971663,-0.620902303526145,-0.624435813153955,-0.623802266747335,-0.613956123081076,-0.619254252622433,-0.613591299591847,-0.615992916669112,-0.621374159578764,-0.618971091209775,-0.615727576543509,-0.623184690667921,-0.620002337015784,-0.617072506325329,-0.620912395811297,-0.62205713682035,-0.621571192012801,-0.620490524475207,-0.618643306345724,-0.62158886527662,-0.620608743835865,-0.620286492134214,-0.621654925347568,-0.615658418437116,-0.613092328718792,-0.620002772661665,-0.616728408937258
"3",-0.623678432173113,-0.619345078095694,-0.618703658690649,-0.622966129265967,-0.620746151314472,-0.61894084016846,-0.621290471518177,-0.62423367856132,-0.619382262857547,-0.624165232248967,-0.62139468163005,-0.618932912352641,-0.61650664175738,-0.624492253864701,-0.623326602899653,-0.618295638956609,-0.615855941312215,-0.618337320757785,-0.613870850273767,-0.614201165381864,-0.618585491788478,-0.61895045962834,-0.624833927593151,-0.622099701398244,-0.620480220645001,-0.621623156862613,-0.618502384544455,-0.62288661978436,-0.615726659907112,-0.622353393969556,-0.62157128780096,-0.619723771343363,-0.617506431495048,-0.619927934332173,-0.61702955259943,-0.623976234966875,-0.616578518331242,-0.619411923845347,-0.620006980361614,-0.619457303019429,-0.620265823195765,-0.625351957533685,-0.613175440347284,-0.61298638485574,-0.621864801534628,-0.622644846881894,-0.613619845875654,-0.619827168141453,-0.62235936282599,-0.616649935680748,-0.612834902276818,-0.616664770888933,-0.622194603502875,-0.618126259600562,-0.623204351053397,-0.617751368137208,-0.62031504700693,-0.622321188436549,-0.619407735206659,-0.620895474231079,-0.6177563075976,-0.613524392809769,-0.621972141694701,-0.619903971436364,-0.62055360877293
"4",-0.618074621166977,-0.623872124039226,-0.623132366907063,-0.618834408446129,-0.621261652489486,-0.617532189035647,-0.622948221525265,-0.622019548534703,-0.62355566301156,-0.620468410874039,-0.62170357823036,-0.620889824618668,-0.615493226273891,-0.619958466224661,-0.617210303830736,-0.620359645517566,-0.618874586340417,-0.618971455120943,-0.62127859588449,-0.61318481125409,-0.621814567404271,-0.616160659659943,-0.622064659681803,-0.623266716214192,-0.621822223463791,-0.620939588322656,-0.61004065578327,-0.609255193601392,-0.592971687972762,-0.611299862940039,-0.609845252596327,-0.596478699621418,-0.590822754742438,-0.598063034850921,-0.590646440974973,-0.600117692312061,-0.608066498495824,-0.616271386210419,-0.610960779806751,-0.619091340512247,-0.627267768230913,-0.620514769260979,-0.618894193352859,-0.621100567365732,-0.621692952748595,-0.616760723835364,-0.611269660794146,-0.62301503459314,-0.617352628279209,-0.608680474207005,-0.62033292692595,-0.622445820627123,-0.617648743589477,-0.621304231655413,-0.622086654664532,-0.617926532560386,-0.619422000888462,-0.622394745016492,-0.621097502961853,-0.617291707673243,-0.618224262059478,-0.616932922738555,-0.619524780442586,-0.617378755486105,-0.618430178101999
"5",-0.624412230634721,-0.621104292293535,-0.622979898703933,-0.627282765864638,-0.622532862823275,-0.622697752606021,-0.620760290872745,-0.62289852647967,-0.624784167980025,-0.621054830697907,-0.626476711274295,-0.61913388465058,-0.618231798865892,-0.621215329428452,-0.617298691714187,-0.617220082735109,-0.61501330630587,-0.620135124293707,-0.612222561174648,-0.618680643008563,-0.61839018716685,-0.617033972188725,-0.624665578294898,-0.614857785020915,-0.599949353356223,-0.601399492105526,-0.581814306494133,-0.581619186956456,-0.566089325851629,-0.57254367773864,-0.573015117728018,-0.573346881509242,-0.57116107716561,-0.567138054040161,-0.568703044031749,-0.568746676311392,-0.578722693378334,-0.58818305805246,-0.593993961823464,-0.606164385362459,-0.61592408629778,-0.615904618368602,-0.618509295305688,-0.620840461060959,-0.619529315570538,-0.618728685476464,-0.613275119990134,-0.620754280710946,-0.613719105021773,-0.614012373369791,-0.620539295120671,-0.61678523388753,-0.618411140185419,-0.620181369899947,-0.621071813927611,-0.617406327718393,-0.619117328915569,-0.621878147962979,-0.618170618659005,-0.619506531382994,-0.616184846409319,-0.615399126429938,-0.617937359836831,-0.616847523752404,-0.622357737058794
"6",-0.621104329949709,-0.622454069777783,-0.621211986951875,-0.625005997033847,-0.625148185952379,-0.624145764346733,-0.624278583351203,-0.627024245576273,-0.622744814890545,-0.623239375976507,-0.624637848170279,-0.622955403827797,-0.619265732055308,-0.623398709074645,-0.619363412574839,-0.621408937168787,-0.618790469795751,-0.619307709709819,-0.609814895964458,-0.618359472211874,-0.613638886725438,-0.601686045608593,-0.604337190562957,-0.593486730635535,-0.579522204254962,-0.572004217132681,-0.560902149011597,-0.573977574866963,-0.571220956932023,-0.564099052239822,-0.557759870898474,-0.571244140790086,-0.573793681235905,-0.561834458616714,-0.561993444400527,-0.564572871501462,-0.565271157623971,-0.560556532350118,-0.562103645875349,-0.568531479259097,-0.582005689029213,-0.59415295533625,-0.596620568200381,-0.613243716297038,-0.611444959205813,-0.604148100648909,-0.613437239164259,-0.613823109205163,-0.615674339132174,-0.611932513902929,-0.615648842517088,-0.617798386189748,-0.616092518122754,-0.617565698685053,-0.617011624289363,-0.61878038307488,-0.618366579767206,-0.622265834288365,-0.617951783100728,-0.617026739016537,-0.612963175204625,-0.618111942936387,-0.622606467791348,-0.62050396072114,-0.619757039912274
"7",-0.620764427493272,-0.621227777995949,-0.619970011917218,-0.62096679874945,-0.624634033563733,-0.62368974570437,-0.623025779046607,-0.62492712919037,-0.626745759089821,-0.624740842221751,-0.6239532820034,-0.624548316971937,-0.619754442038021,-0.623700014466766,-0.617514112309707,-0.618131046925833,-0.623062916308204,-0.620154467963623,-0.608447364699775,-0.591483450617603,-0.582367305683021,-0.574751676794443,-0.56493116522456,-0.564102142170692,-0.575369038444192,-0.576212087654369,-0.571152330142401,-0.577087131950288,-0.57281000265313,-0.56012742370226,-0.560286088116132,-0.574726448695813,-0.562518104582444,-0.567105818906617,-0.564003449541637,-0.566472147481524,-0.554577110369225,-0.561157131213313,-0.562382208309147,-0.570140995105768,-0.565694521809037,-0.562813217840623,-0.560105156595882,-0.573696944442522,-0.587844248918719,-0.596301568901511,-0.602244819028173,-0.614145811012324,-0.613751946587085,-0.609411031468032,-0.614721139374977,-0.618202115772879,-0.61625646999313,-0.617143167879612,-0.621734219852302,-0.622428320814585,-0.620824472542506,-0.619088699065189,-0.617666839169921,-0.616122466737443,-0.617861409867436,-0.622797537621479,-0.620601917993366,-0.623051152593626,-0.614750867329782
"8",-0.625017684594142,-0.623570498939864,-0.622262051754142,-0.621761366411296,-0.623545199455323,-0.620938205295783,-0.626139018433839,-0.620785748680095,-0.627987380835183,-0.62495202931021,-0.623922408653426,-0.625475758042935,-0.62182177495271,-0.626595672558262,-0.618218926359871,-0.618966648316409,-0.618287112676365,-0.608185002066822,-0.588378701653803,-0.565901838049085,-0.555855542897845,-0.567032715621608,-0.558602377287128,-0.556695384548409,-0.568866734471011,-0.5747695699789,-0.575140774762453,-0.57718229320673,-0.568480713886269,-0.55842494743519,-0.557660068152397,-0.567081339218869,-0.565121694716404,-0.568109468487058,-0.570024498875168,-0.566940672454525,-0.554442820155659,-0.563319777525296,-0.566445065394964,-0.566332501567472,-0.572537978213888,-0.570223332633534,-0.565711788891982,-0.568116157602794,-0.556867197740047,-0.560186714581716,-0.578296025376822,-0.594832973216665,-0.603325868257526,-0.610869593411657,-0.618143904049224,-0.618587833684497,-0.614520289730897,-0.61781792367048,-0.626212942850414,-0.619544395417194,-0.616341325690434,-0.619445100964492,-0.614149440855563,-0.61809139800324,-0.617497907639818,-0.621921743357071,-0.62009101072095,-0.614446537958402,-0.611746152911941
"9",-0.624195071876034,-0.626532762872039,-0.626173994191956,-0.621749642025838,-0.626981482966425,-0.623514741507716,-0.627750868308292,-0.625613436033756,-0.627351291392526,-0.627703542629924,-0.623546977501845,-0.622565907469349,-0.625019192791383,-0.625439661656853,-0.620475736259631,-0.614867395604433,-0.606870019180034,-0.584062803765627,-0.563355093238838,-0.558670387619061,-0.560996238520325,-0.562052682165573,-0.554490691813689,-0.563068772516224,-0.567369832512635,-0.566984974080997,-0.576568358251263,-0.574852434532809,-0.569832199904371,-0.562801255592744,-0.565523908684389,-0.566150332347572,-0.571624196967844,-0.574547131748079,-0.565439200311321,-0.562873813155287,-0.561423023620526,-0.556831877125191,-0.568444754529522,-0.569355121358912,-0.573987101198764,-0.575917245610097,-0.565921595171867,-0.568427129087809,-0.554383034835955,-0.556120516248605,-0.55502776787456,-0.563817913569365,-0.567180214589805,-0.603995998085454,-0.618341542956692,-0.613964929725765,-0.616833136893122,-0.622610700299452,-0.620423635867155,-0.611545709090495,-0.616556514065351,-0.617052943294219,-0.616524039868617,-0.613968888529178,-0.619136434837728,-0.618405114704382,-0.615276764724743,-0.609473543098246,-0.61481439539752
"10",-0.625191730740513,-0.622891027462335,-0.623962579290234,-0.625173787446368,-0.619851428571603,-0.62606561960731,-0.623692569523582,-0.629208596626018,-0.625270782848828,-0.631823783116098,-0.628858668184191,-0.620907095495246,-0.625153427684052,-0.620739495669295,-0.616487085207829,-0.60251385963967,-0.570698902276943,-0.56617625689373,-0.566888185962035,-0.560017936205576,-0.55818087774672,-0.554761330708913,-0.553471624392471,-0.562844066741391,-0.572934448072725,-0.568100366051864,-0.572066605429907,-0.567409436265183,-0.568014500542394,-0.563726359762762,-0.570765138846694,-0.570874091041754,-0.571707129587859,-0.568877065262761,-0.566463290611866,-0.565379586842058,-0.562918933935933,-0.567436380952302,-0.570499959177531,-0.573641140076614,-0.573745412849544,-0.575928589850191,-0.57101662886416,-0.557489222350851,-0.563687801944965,-0.555328583315149,-0.556370540671769,-0.556849542598486,-0.559714288129493,-0.584341171177443,-0.597453924712955,-0.608718924258367,-0.620552141493949,-0.614176300969549,-0.617436119804224,-0.614299618705479,-0.619139403939186,-0.612689006110474,-0.614764493126033,-0.613423350438488,-0.616538418652236,-0.613338117404982,-0.609580771493497,-0.608904426231141,-0.615435826155086
