"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"1",-0.484677156220523,-0.481928748037911,-0.484799708667953,-0.483916616664644,-0.480313047243058,-0.478824016177475,-0.480384952592942,-0.48577644014445,-0.476363596177597,-0.475817442605056,-0.485517802814373,-0.489082329829303,-0.478936352893999,-0.475751261902465,-0.488657277367105,-0.487013103024867,-0.487299965797689,-0.488770587212667,-0.483248654088588,-0.488771266862212,-0.4864464524543,-0.474250158618267,-0.476797560758414,-0.477514606295147,-0.483017713688185,-0.467594341082792,-0.47359023395451,-0.477878036837503,-0.480826550649102,-0.474686171750109,-0.48028646279816,-0.479979492415436,-0.470968604491053,-0.472885223734446,-0.467209294815786,-0.474525992367965,-0.477769894413853,-0.464753165151211,-0.476010734785186,-0.467768338235877,-0.476240259815757,-0.475427390853973,-0.485188392183201,-0.486775402008219,-0.489091690682682,-0.490668131138609,-0.489144692993628,-0.489670341878847,-0.488163171929722,-0.489503329030193,-0.485552100931421,-0.488904523148161,-0.482226130562221,-0.486600266373796,-0.488755546697012,-0.487051873938207,-0.485009590924231,-0.484357729897905,-0.483258914111125,-0.488526926440341,-0.490105139250767,-0.488247009776956,-0.487209855713506,-0.484697626960232
"2",-0.482723092768134,-0.478769725423339,-0.478866494700024,-0.484199268270256,-0.482318477422829,-0.482437942996416,-0.485789444753175,-0.489644965298863,-0.485172270387553,-0.483326298977027,-0.484180494911506,-0.48562400217332,-0.483214087502211,-0.477528337873331,-0.48659220990939,-0.491356729647732,-0.491837285033277,-0.489159209322015,-0.491167774886502,-0.487178627214686,-0.488968705557082,-0.485730348786733,-0.482183179726972,-0.487009373903318,-0.489151180041277,-0.483927228005382,-0.491921613217698,-0.486596694535982,-0.481381096328499,-0.470615699652164,-0.484984412669676,-0.480144310671067,-0.467227929231619,-0.475914896747173,-0.47692119005073,-0.482553706335775,-0.483117700867724,-0.485908132305928,-0.485403530200031,-0.479452319682377,-0.483197894061712,-0.48108229977787,-0.474780743339906,-0.485146507653799,-0.490065671742411,-0.491324654776773,-0.488079802811948,-0.493818819710514,-0.49199541016553,-0.489115410242669,-0.48577313263668,-0.482537317485883,-0.47671453737307,-0.486342753165051,-0.479092977971199,-0.484867817660972,-0.487138198617615,-0.482775266099499,-0.483992653847107,-0.48838815244317,-0.486391606900182,-0.485307531667075,-0.483289006600952,-0.479552093906931
"3",-0.485932469385079,-0.477448145262967,-0.470333900545543,-0.479921093873085,-0.483044906326758,-0.479848267315262,-0.480094363672339,-0.490670135958616,-0.488540071041671,-0.489501394575876,-0.490268105761832,-0.483487104285301,-0.484235366152616,-0.480765670190929,-0.485603272593939,-0.488215189113934,-0.494539507212039,-0.487731675214361,-0.495281671227171,-0.490884302588274,-0.474877643456879,-0.485480792694607,-0.477115663587206,-0.48687000752343,-0.47663339152471,-0.490837321048461,-0.4931477644951,-0.484104885050835,-0.480495077155618,-0.474891155665645,-0.483735561604517,-0.488754713485789,-0.480311374251539,-0.483820163536432,-0.487702000592332,-0.489212674492056,-0.485035663202535,-0.486709805118963,-0.486729461746232,-0.489481609953204,-0.489150174664406,-0.488764526333331,-0.47236613349866,-0.483956216876667,-0.49061273373457,-0.4887187783261,-0.492707423177085,-0.493942760714013,-0.492092447299569,-0.491842500518499,-0.486365167446113,-0.479505467234569,-0.48841367022934,-0.487935278098022,-0.487127874546959,-0.492339077615551,-0.486639270338011,-0.485047365705737,-0.482359483966117,-0.484411425171967,-0.487062071812838,-0.485189604984965,-0.481699886540509,-0.484663993392764
"4",-0.482920893142119,-0.482995592741545,-0.473412290313554,-0.466933697785902,-0.476421276258601,-0.480001148182249,-0.476054759762319,-0.482247655703488,-0.485255519874812,-0.492325706109982,-0.491507410432182,-0.486228532154973,-0.487097212245254,-0.487021008837028,-0.484345648483062,-0.483487959408001,-0.492708969232332,-0.486911952616301,-0.494560385001206,-0.490856531019994,-0.487502989801372,-0.482908387205969,-0.479696243204803,-0.486061000876955,-0.478029185054814,-0.486524516767342,-0.480146915095259,-0.474727575530695,-0.466432352844725,-0.469849728234596,-0.472324561203396,-0.476071549792765,-0.471580920160716,-0.471853989633159,-0.480690199409304,-0.481391050123007,-0.482926674421179,-0.482284535317866,-0.479866595362311,-0.488811943509117,-0.486088101048257,-0.48431477964029,-0.489061880372042,-0.476400972745051,-0.469257422599544,-0.479784259858363,-0.475605938889373,-0.480569317324754,-0.482587701261099,-0.48812480646891,-0.474567242470034,-0.476301419604497,-0.484239142326972,-0.487514561246287,-0.489214278221471,-0.489440103179825,-0.482909031430816,-0.484116106679565,-0.483564986835499,-0.48736233739399,-0.492064833799258,-0.485618547983484,-0.487714983844227,-0.488058128708948
"5",-0.483923921873777,-0.478911948333162,-0.477908935604278,-0.469360008477237,-0.468126092821234,-0.467924222916285,-0.47298723795701,-0.477162552627588,-0.4762032483567,-0.492056501338349,-0.490310926280863,-0.488666163991841,-0.489427900164296,-0.488932311762118,-0.487401378040896,-0.491644201625075,-0.490364704749358,-0.486069532343675,-0.489901142460171,-0.48509830842097,-0.490173100043542,-0.475929138707889,-0.467476560332423,-0.475202195653944,-0.464084205594037,-0.470516585951242,-0.468331896831232,-0.467197921133169,-0.464884389962027,-0.464871287598992,-0.46422150869126,-0.462569928094006,-0.464361804951505,-0.46021077395969,-0.467293902655158,-0.463060260336525,-0.459612883753962,-0.461570358918177,-0.458045972478235,-0.47303581159674,-0.478228090760495,-0.475542278644385,-0.47312462170959,-0.480534744858319,-0.474538644672341,-0.471119615969259,-0.482478038890657,-0.480666441451235,-0.485500475398748,-0.477364373879729,-0.465873595727098,-0.471453114701137,-0.47696074127503,-0.483039655673381,-0.474894290299204,-0.477771556531721,-0.479850168800374,-0.471209869513601,-0.481566123137519,-0.485739571067705,-0.488982571049608,-0.488414014035965,-0.490314510496995,-0.489502124093653
"6",-0.491074772206992,-0.484763097466707,-0.477797331696474,-0.480995645589374,-0.479221045115066,-0.474949659894545,-0.474331797190249,-0.475386558504236,-0.477162010381227,-0.483980001453869,-0.490229353966794,-0.48672590562516,-0.493325568337687,-0.493020770700234,-0.48942150096988,-0.495977771491038,-0.495252298363692,-0.494732303415638,-0.491607946827438,-0.483565966557101,-0.482129393117121,-0.469890854071609,-0.473858304920539,-0.466657764933118,-0.464787887388151,-0.473556449795168,-0.469647106175592,-0.464473713021626,-0.466367220252545,-0.46517029938912,-0.455902932630884,-0.460042886488558,-0.462225955506646,-0.460040353975187,-0.457990873551962,-0.457851788231223,-0.459483255730789,-0.466239402853125,-0.463859570551955,-0.463952036951088,-0.462827270193839,-0.465499187342715,-0.46074464613392,-0.47063162323609,-0.469992987335993,-0.478623956921693,-0.486856915639431,-0.480388957823394,-0.487992747149235,-0.480102926104395,-0.482895644961756,-0.476729358834021,-0.481759546380108,-0.480327224909263,-0.478816725735929,-0.475970759269251,-0.47039651887358,-0.473545620215662,-0.479430556545189,-0.478623541626469,-0.490705469730154,-0.490168233319712,-0.486291524374978,-0.487760273047941
"7",-0.49308802892293,-0.494030988453609,-0.483940800391973,-0.48097373789779,-0.486934055983823,-0.484809018379995,-0.483394736956323,-0.484764816543332,-0.485856502909424,-0.487914250958929,-0.486010460744693,-0.491267694480702,-0.490876963200455,-0.495508533191488,-0.489367397553252,-0.493729927845164,-0.49317302890709,-0.488719187511326,-0.470555920656002,-0.470511818777998,-0.46751896281043,-0.457726008507927,-0.471925168733685,-0.468943039446584,-0.466028584636925,-0.469624398004844,-0.458329787618935,-0.457759570980432,-0.460076841302352,-0.45736785454526,-0.44951027406457,-0.457046124646186,-0.460919507448353,-0.460705113502927,-0.460147016635298,-0.462700331375032,-0.45882878918468,-0.466162327237045,-0.471783474917007,-0.473183522464305,-0.466162808438644,-0.464277628852702,-0.458794973205748,-0.450624092723923,-0.458597109252289,-0.475040955312728,-0.483287173589919,-0.475333787162454,-0.478171274180586,-0.479533660741334,-0.485939123384759,-0.486313223330504,-0.488087959125327,-0.475362739086738,-0.480816890840682,-0.474829053025355,-0.481045216603747,-0.487067803189731,-0.484860604790381,-0.490281529534481,-0.492768822603749,-0.487100678481184,-0.485797633224499,-0.48671200263511
"8",-0.48818488200596,-0.492677808527359,-0.492870395314101,-0.484113966624135,-0.484928884364389,-0.487772947331348,-0.487778952338932,-0.481978607477955,-0.48929625966811,-0.494372298180697,-0.481666011397712,-0.48960051389777,-0.491258650921359,-0.493949318715124,-0.489897129010497,-0.487572731953035,-0.475419201838501,-0.464289632773448,-0.461746969398687,-0.461719256637542,-0.466510158145147,-0.458485903667963,-0.47010457228228,-0.471284020349101,-0.456732680543295,-0.465379543416371,-0.46301107385315,-0.462978955188457,-0.462393651603873,-0.463345918222868,-0.458619601773329,-0.453813476202504,-0.465282485893439,-0.457876895839334,-0.461486627593193,-0.462970403990032,-0.454593242994727,-0.464211945815325,-0.460478888326069,-0.471460616490585,-0.473475732210114,-0.46911625931471,-0.455893661823781,-0.45110307422704,-0.458024942740211,-0.462369403102671,-0.464348834446227,-0.464839483207028,-0.481635809729651,-0.464258543454002,-0.484097242978682,-0.486042677096723,-0.487125260243316,-0.482933334500137,-0.478561563708998,-0.476092844384569,-0.482511034607703,-0.479802838416265,-0.485508707230269,-0.486607479894797,-0.486698485578358,-0.490697422948192,-0.488891750668281,-0.485731703445316
"9",-0.489813245335869,-0.484644324702248,-0.486669314960506,-0.485566170891968,-0.477823424726833,-0.481165738723184,-0.484879476020073,-0.477683892567745,-0.486929401383174,-0.490492746491137,-0.484856813737515,-0.487684351522237,-0.487888582663793,-0.487318879527459,-0.47602004389079,-0.467306041892235,-0.459236357786299,-0.458237937469773,-0.457901197378047,-0.46490398172637,-0.462928438595258,-0.466800500826042,-0.473228537684785,-0.470021519358898,-0.465769088673065,-0.4566749426556,-0.463090414719338,-0.455697781907848,-0.457548736848893,-0.456923174801729,-0.456403836363897,-0.451065442596045,-0.45742844352271,-0.450574907618039,-0.443963662929551,-0.461321586738915,-0.461128710006348,-0.462648956377403,-0.462846628588437,-0.468058987433156,-0.471688292017747,-0.468745507007776,-0.459469711430254,-0.460500543710066,-0.459827589458442,-0.448874858364219,-0.457656285232943,-0.456739702720253,-0.471380208710653,-0.475428098806525,-0.479702236798926,-0.469764771627375,-0.489993318428141,-0.488023718617708,-0.489769432691902,-0.486650604667436,-0.47759219215021,-0.483352111860236,-0.475211273822228,-0.4810209771732,-0.489719022984969,-0.487963095035432,-0.48893306658851,-0.483671040123273
"10",-0.490669188431789,-0.490046186349363,-0.482062755960162,-0.486059869925598,-0.480378215474098,-0.479163891069308,-0.482944718823789,-0.475261263261801,-0.479043667291652,-0.481040345323802,-0.480155030894996,-0.481290461321184,-0.483001257151463,-0.478567534327626,-0.46394304511261,-0.458014576658745,-0.462628744253462,-0.464450744202646,-0.461957547698048,-0.466194515524163,-0.462855245404391,-0.467172970306195,-0.47018978840998,-0.465209888349421,-0.471729995267294,-0.466058402901226,-0.460203468105373,-0.45989287445089,-0.455528331106857,-0.455025662247566,-0.445569575137619,-0.448223847226692,-0.461575215673799,-0.458605995472778,-0.446324555166268,-0.451554193167124,-0.453321185767401,-0.456423868611933,-0.46544182387154,-0.460816363733924,-0.457744933681195,-0.454338202022902,-0.45833780828574,-0.462459482223829,-0.462143189457497,-0.464480317070401,-0.464200999262568,-0.459479694073719,-0.455111647893482,-0.472773508394267,-0.472552062205971,-0.470020790815156,-0.479341270696433,-0.4893801177976,-0.488931554559777,-0.49250216362857,-0.490195916313344,-0.48566173569182,-0.480534055909757,-0.485938263891925,-0.482664907285022,-0.482169592864698,-0.483670382227688,-0.482037859331007
