"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1",-0.602667237685009,-0.612318079591889,-0.613018116072206,-0.616414064469549,-0.619179944210046,-0.603343744837636,-0.61314780024585,-0.615900311720991,-0.605952161163364,-0.616969374799964,-0.626055533936862,-0.605230678514757,-0.61496637350637,-0.607033865067396,-0.607357048809437,-0.60932218320678,-0.604943656407906,-0.601986420142444,-0.618623679315809,-0.612985742544246,-0.587911783411252,-0.607367789400737,-0.612589775991167,-0.600994069840906,-0.606686000495645,-0.593996772762079,-0.600250988091122,-0.613371134282471,-0.606080136495449,-0.594767147171355,-0.593419761003037,-0.614089033090311,-0.591733842418901,-0.604358981833221,-0.617830796552413,-0.625382621376656,-0.608699763577807,-0.616515225930976,-0.605498962465372,-0.606641913348227,-0.615321817107302,-0.597457499882534,-0.60606447308084,-0.608507681770725,-0.605411217018514,-0.59378214995318,-0.616816518596835,-0.6217472852357,-0.606373441298408,-0.624780424449111,-0.610037002063125,-0.611864876654282,-0.612664163134401,-0.613068457034846,-0.613795581191654,-0.612569688127407,-0.6186255629767,-0.603713758912355,-0.6111337139504,-0.607058095282131,-0.619602338685248,-0.611162681734888,-0.613059540562033,-0.617085714696869,-0.607688881366774
"2",-0.604393709140395,-0.605346103831443,-0.610724675863117,-0.597373912663239,-0.612546866774967,-0.611566184830281,-0.603056638517074,-0.626967946081313,-0.609193538973609,-0.594574680683454,-0.616600582179052,-0.622036754003652,-0.616226890985178,-0.611108583616716,-0.62608470445851,-0.601538701630938,-0.616476949026864,-0.596320195037759,-0.612261886393599,-0.616217506358326,-0.601223137694819,-0.606507805387936,-0.589621824124924,-0.597900360335964,-0.620965188143845,-0.596057581000046,-0.588805526615011,-0.59958506167142,-0.616395900321264,-0.59179651276174,-0.599582140234079,-0.603353083406504,-0.598649213747222,-0.609803358298515,-0.61253038486948,-0.6185058268865,-0.626024423419281,-0.597451202399536,-0.613827693424073,-0.614992776086892,-0.613149236132524,-0.597156185063664,-0.599314446503239,-0.601810368079861,-0.612126571539639,-0.60880757027382,-0.621724916101004,-0.615119629956369,-0.618773682475378,-0.605001131150177,-0.605909618216848,-0.619075512319132,-0.619990440452133,-0.614888692551884,-0.61868251199647,-0.621155632499155,-0.608185072764676,-0.603245568454807,-0.606798999882178,-0.610579323777385,-0.616897893018761,-0.608631894465561,-0.613538604443581,-0.603951335197004,-0.603948523600706
"3",-0.609989307789543,-0.608069455737745,-0.616091977475243,-0.608801521398252,-0.603216548543198,-0.616410113761499,-0.600648417249801,-0.598813751653996,-0.62105986351946,-0.609208409080377,-0.603411538652225,-0.60717589675926,-0.612780760770739,-0.610409313439808,-0.633380785359463,-0.5966808734472,-0.616727557461053,-0.609687002757678,-0.602366233501472,-0.61523992976349,-0.612538822524191,-0.613390840222821,-0.584798943430118,-0.591997562329423,-0.621179871885822,-0.589522323550235,-0.598978882500784,-0.60132164641101,-0.592709857781276,-0.578772533030484,-0.613423356860927,-0.596999712474303,-0.613765245559347,-0.602012857173119,-0.617520927615369,-0.613648349601068,-0.614508181216008,-0.610540395617992,-0.618913809314059,-0.614104073307444,-0.594449800644577,-0.612968109919099,-0.598648296833195,-0.605645476330357,-0.615345215876731,-0.616885842104456,-0.613159844959064,-0.613530063704181,-0.613454644948215,-0.60457195458573,-0.62254585730184,-0.61213081426143,-0.615753624795082,-0.603499174810947,-0.618975954302883,-0.603981458502482,-0.604182721815095,-0.615488842377886,-0.620246284898935,-0.615160530025655,-0.605153833086906,-0.612701095730478,-0.61494827180551,-0.60039508341109,-0.606194173724628
"4",-0.600095382045006,-0.59745618784211,-0.617567358218053,-0.616726569264317,-0.611224088508629,-0.602852301967819,-0.620520287756876,-0.611058184722368,-0.602565689205178,-0.611720320746099,-0.602310032428555,-0.60932556386185,-0.617190312197816,-0.590236790777607,-0.639107678092344,-0.605674194240193,-0.624897609821718,-0.613906665478928,-0.596470817182277,-0.60238325457229,-0.618571042762571,-0.604057229647808,-0.614736147632325,-0.572386309829755,-0.613742339266604,-0.598321478957643,-0.606604801891135,-0.56616639413264,-0.611988702843151,-0.582100296485879,-0.614091295108224,-0.601089692504638,-0.599647493608155,-0.62749042767518,-0.620426247445319,-0.589219683110423,-0.636973621602451,-0.615780151422954,-0.611957819016066,-0.621033037635152,-0.590809041224003,-0.623239307634792,-0.594236579387606,-0.622177218924964,-0.608214406843239,-0.6236053159461,-0.593874078009441,-0.607800263865638,-0.621869181508628,-0.60801757441403,-0.617263801607061,-0.608628601398804,-0.617183776502656,-0.624130763034165,-0.612756438422137,-0.61435845874327,-0.614498829766335,-0.621623486650552,-0.609235345419674,-0.59203395127869,-0.617653128846439,-0.618230668476324,-0.602503487254256,-0.605312400421904,-0.621520996171567
"5",-0.61333981751936,-0.593592939650512,-0.592730597934707,-0.612741059746114,-0.619845349583231,-0.613765486187338,-0.600406314891863,-0.614058921795022,-0.618774575505788,-0.59504882630275,-0.617006759936248,-0.593482062009541,-0.617406343747517,-0.59775263026798,-0.620055236109493,-0.600301348040436,-0.615272379517672,-0.628511180045734,-0.612991391424301,-0.605003030231329,-0.61785723602017,-0.600540709916054,-0.622342854431398,-0.585382319970797,-0.615397845618053,-0.621616180194523,-0.626534114820742,-0.579765576788767,-0.604090161804965,-0.592813878374757,-0.619502920727397,-0.618544294390036,-0.632562573739245,-0.631725673669389,-0.63942864650631,-0.619114031911526,-0.646742178540714,-0.637130728862033,-0.634623170174265,-0.604588146007379,-0.614542671915677,-0.636717800052215,-0.612942658176854,-0.622726031180009,-0.60038742627141,-0.592677389364328,-0.602101675727929,-0.620703554936515,-0.624219931900768,-0.612281025423526,-0.60874695880793,-0.626787428674064,-0.618716078510246,-0.600696666103642,-0.613246384894128,-0.608193445737186,-0.606244659869017,-0.614346751656442,-0.595088063896652,-0.615954986181794,-0.620381607724681,-0.594455280510996,-0.601842621014796,-0.617217741581035,-0.602033294692426
"6",-0.613867828757123,-0.621190639274142,-0.595101366225159,-0.58832824294653,-0.61378809899575,-0.61768356846793,-0.617699990061851,-0.597832742163143,-0.626901376483732,-0.605383127361584,-0.604061188277476,-0.606170943808534,-0.613679647307075,-0.602693354435696,-0.61792850804854,-0.602369794006651,-0.611957201045751,-0.613241612850643,-0.60481123330647,-0.595903662269462,-0.61330531624698,-0.647759294119318,-0.644393190048871,-0.608602464676276,-0.6293496839532,-0.609407230463608,-0.598941614885948,-0.587105886810717,-0.601284103338055,-0.588560676069508,-0.601548342632642,-0.618230918692477,-0.638951430590226,-0.622154737499569,-0.643582603461034,-0.649952426969106,-0.638605833674541,-0.6434097089937,-0.631814854409556,-0.645237573070327,-0.633272273863411,-0.652868072335583,-0.645932779815722,-0.618688267281459,-0.587433974997363,-0.594765984680278,-0.622344726857087,-0.622909848961593,-0.625282175824334,-0.596434602020291,-0.620071103119001,-0.614751688487718,-0.603166426326206,-0.610932618303905,-0.615267165636229,-0.605264792031102,-0.626423028407544,-0.606220358888301,-0.610849127488713,-0.618206487929608,-0.595493977483203,-0.615613709472178,-0.613928508962678,-0.616058274410556,-0.602507358171897
"7",-0.613789929570538,-0.620124926922084,-0.629268611820265,-0.601757878777011,-0.601486463039341,-0.612992923160718,-0.612906287371181,-0.616092749281912,-0.611597939733662,-0.627217968165404,-0.616654294119555,-0.599342105393653,-0.609132380111239,-0.62441891994518,-0.622472056910278,-0.604823761018457,-0.626664431819798,-0.618923798479104,-0.636560868660712,-0.608179043978275,-0.621289931707153,-0.641315245350423,-0.644651979145037,-0.632226020741453,-0.646542557653652,-0.622158812649622,-0.585359720622641,-0.575007151231003,-0.595118393788012,-0.572972626628782,-0.603208762167991,-0.627412952594739,-0.626449568441831,-0.62471941312722,-0.654383757013987,-0.644406117640308,-0.644213626056445,-0.649165685677468,-0.650340896201788,-0.650668473799773,-0.636153389639817,-0.632726604386282,-0.620658684357089,-0.612332544001333,-0.610856048364649,-0.617556520199571,-0.626046990986061,-0.608654954009792,-0.616753180495395,-0.611738515614361,-0.609554860989188,-0.614014661704048,-0.611821839639039,-0.614343364917214,-0.62383727628438,-0.619250413185175,-0.613676556263052,-0.611045376199592,-0.625088964473174,-0.598691166123652,-0.614757403174082,-0.615196358736177,-0.61158164718225,-0.610946084116127,-0.60406239392243
"8",-0.60555997998714,-0.606890381844749,-0.61543583671189,-0.611434953069956,-0.603095094269137,-0.606621704048613,-0.610715934288946,-0.61128651060153,-0.604146664737803,-0.609953056518672,-0.616468003832031,-0.60472557649622,-0.599289112805704,-0.603386473420644,-0.622891265460674,-0.618228300474536,-0.617559347108581,-0.61155098916949,-0.630808220023853,-0.641402388215223,-0.63753020594048,-0.629288334112683,-0.635334764437287,-0.626392075817435,-0.636621641234521,-0.619046602352591,-0.604469263422002,-0.581857328662585,-0.580983642001741,-0.581707598347874,-0.619746196739665,-0.638671871464694,-0.638927787305417,-0.661229755826778,-0.654666916559206,-0.621766702268093,-0.620901073380099,-0.635579398496228,-0.635087289454194,-0.631637007082853,-0.638639981304367,-0.625425239859773,-0.629055723927394,-0.639980222525943,-0.617046874064618,-0.635752824170433,-0.625006495448849,-0.61241209275073,-0.626830766209065,-0.588731818201417,-0.613710554900413,-0.617010468135504,-0.612391472268271,-0.614813388870173,-0.612433345237739,-0.608410733528873,-0.608967200180257,-0.613023259708941,-0.596475231479342,-0.601802521767726,-0.61402404948382,-0.610644638315947,-0.607078904260422,-0.602989974193153,-0.612005895356517
"9",-0.609868407094887,-0.607274752896993,-0.61238945079437,-0.614646826371439,-0.620829348750495,-0.618585916777406,-0.589960268879304,-0.611739063369785,-0.613390068514595,-0.618882111844543,-0.621667754762048,-0.601120534053715,-0.612811239659987,-0.617679632347291,-0.610237837860131,-0.626141261399441,-0.631732630547769,-0.640530457050816,-0.636432098602271,-0.624868717319256,-0.629916255594745,-0.625898327321429,-0.617721662922539,-0.621403268747843,-0.613723499075323,-0.640293620283656,-0.619092813756291,-0.608067113967798,-0.58934790156132,-0.605608160344328,-0.616479599108619,-0.630849466497117,-0.643516654048563,-0.653897776502331,-0.627591536744029,-0.616438053514922,-0.621924215203456,-0.616830839208335,-0.625699340823495,-0.623049818166057,-0.626665050765227,-0.627225996031346,-0.616555184439833,-0.609270593970749,-0.60743477473449,-0.61058224978853,-0.634356163180893,-0.643783025157185,-0.627449633264818,-0.608201293159937,-0.629009716363894,-0.619586220691538,-0.616251177606218,-0.601780890609167,-0.612586073336523,-0.615540563583954,-0.60231253678874,-0.601863737127366,-0.604731766668231,-0.615768074764634,-0.618509982905434,-0.603224059075897,-0.604557725737103,-0.613812676578128,-0.60993592857764
"10",-0.611793144087097,-0.603995058541132,-0.604697701314645,-0.611241409709691,-0.596350485141874,-0.629941517464328,-0.620290753424434,-0.603806508202129,-0.607869852105264,-0.604988848370957,-0.622925949151093,-0.613217866806742,-0.58397570396545,-0.61496102689351,-0.629631614090248,-0.612576878880568,-0.622168985065442,-0.623529315904546,-0.626944245023197,-0.610183038708929,-0.603809984480632,-0.600438822573889,-0.596938725859759,-0.609514437038985,-0.632125281559031,-0.635432535106026,-0.627039528755989,-0.615244778236154,-0.591509967521769,-0.593111407303076,-0.614366725801707,-0.623641524982205,-0.627119817758805,-0.62980047916398,-0.617781665597356,-0.625414561941899,-0.604210050580191,-0.600921382695765,-0.615230890318745,-0.612146834110624,-0.622482058318932,-0.625768395559264,-0.639102888476611,-0.600428149487216,-0.626957974552646,-0.634755389286125,-0.662797568276762,-0.654024035026304,-0.651720575432602,-0.640111460762119,-0.657661753585581,-0.619677994430291,-0.612447180732848,-0.618918231286711,-0.640587203396836,-0.614201066689667,-0.609866725043521,-0.616791591259299,-0.621798852090808,-0.616226880544948,-0.60173774003578,-0.610509285316203,-0.623581408247921,-0.603256191585562,-0.6168767149248
