,"(-0.707,-0.692]","(-0.692,-0.677]","(-0.677,-0.661]","(-0.661,-0.646]","(-0.646,-0.631]","(-0.631,-0.616]","(-0.616,-0.601]","(-0.601,-0.585]","(-0.585,-0.57]","(-0.57,-0.555]","(-0.555,-0.54]","(-0.54,-0.525]","(-0.525,-0.509]","(-0.509,-0.494]","(-0.494,-0.479]","(-0.479,-0.464]","(-0.464,-0.449]","(-0.449,-0.433]","(-0.433,-0.418]","(-0.418,-0.403]","(-0.403,-0.388]","(-0.388,-0.373]","(-0.373,-0.357]","(-0.357,-0.342]","(-0.342,-0.327]","(-0.327,-0.312]","(-0.312,-0.297]","(-0.297,-0.281]","(-0.281,-0.266]","(-0.266,-0.251]","(-0.251,-0.236]","(-0.236,-0.22]","(-0.22,-0.205]","(-0.205,-0.19]","(-0.19,-0.175]","(-0.175,-0.16]","(-0.16,-0.144]","(-0.144,-0.129]","(-0.129,-0.114]","(-0.114,-0.0988]","(-0.0988,-0.0836]","(-0.0836,-0.0684]","(-0.0684,-0.0532]","(-0.0532,-0.038]","(-0.038,-0.0228]","(-0.0228,-0.0076]","(-0.0076,0.0076]","(0.0076,0.0228]","(0.0228,0.038]","(0.038,0.0532]","(0.0532,0.0684]","(0.0684,0.0836]","(0.0836,0.0988]","(0.0988,0.114]","(0.114,0.129]","(0.129,0.144]","(0.144,0.16]","(0.16,0.175]","(0.175,0.19]","(0.19,0.205]","(0.205,0.22]","(0.22,0.236]","(0.236,0.251]","(0.251,0.266]","(0.266,0.281]","(0.281,0.297]","(0.297,0.312]","(0.312,0.327]","(0.327,0.342]","(0.342,0.357]","(0.357,0.373]","(0.373,0.388]","(0.388,0.403]","(0.403,0.418]","(0.418,0.433]","(0.433,0.449]","(0.449,0.464]","(0.464,0.479]","(0.479,0.494]","(0.494,0.509]","(0.509,0.525]","(0.525,0.54]","(0.54,0.555]","(0.555,0.57]","(0.57,0.585]","(0.585,0.601]","(0.601,0.616]","(0.616,0.631]","(0.631,0.646]","(0.646,0.661]"
"(0,0.0349]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,225,816,1181,1470,1651,1819,2014,2120,2248,2306,2620,2762,2766,2501,2747,2743,2685,2768,2739,2790,2856,2905,2994,3250,3253,3252,3396,3378,3345,3310,3390,3420,3434,3271,3190,3046,2955,2839,2989,2898,2841,2708,2690,2624,2453,2335,2140,2031,2004,2003,1905,1827,1732,1572,1465,1316,1169,761,228,2,1,3,2,0,0,0,0,0,0,0,0,0,0
"(0.0349,0.0698]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,221,841,1194,1335,1592,1795,1994,2095,2238,2550,2548,2749,2647,2747,2663,2653,2678,2759,2767,2826,2858,2962,3047,3263,3201,3300,3460,3412,3472,3259,3322,3306,3317,3217,2991,2992,2901,2833,2771,2758,2834,2834,2716,2638,2529,2276,2202,2174,2079,1895,1937,1803,1713,1635,1481,1313,1103,821,196,1,3,0,1,0,0,0,0,0,0,0,0,0,0
"(0.0698,0.105]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,201,806,1164,1398,1578,1808,1905,2081,2189,2438,2479,2697,2659,2813,2831,2802,2730,2775,2793,2884,2948,3021,3047,3253,3310,3376,3438,3480,3366,3429,3416,3229,3254,3147,3003,2912,2761,2743,2874,2818,2737,2749,2672,2535,2451,2233,2179,2150,2039,1998,1907,1883,1693,1658,1521,1393,1080,881,206,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"(0.105,0.14]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,225,899,1121,1387,1576,1808,1993,2111,2404,2567,2560,2450,2722,2730,2810,2738,2728,2793,2800,2897,2901,3042,3156,3238,3451,3419,3484,3439,3444,3361,3257,3267,3188,3119,2896,2861,2830,2779,2872,2725,2829,2766,2537,2495,2417,2221,2278,2207,2083,1941,1964,1820,1761,1627,1497,1297,1085,854,226,1,0,1,1,0,2,0,0,0,0,0,0,0,0
"(0.14,0.175]",0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,260,774,1111,1348,1643,1761,2042,2172,2367,2545,2417,2580,2563,2618,2850,2858,2773,2709,2727,2909,2960,3102,3203,3378,3554,3505,3485,3470,3593,3439,3392,3300,3162,2975,2972,2950,2667,2719,2844,2906,2840,2709,2599,2470,2315,2332,2205,2232,2147,2004,1918,1675,1775,1616,1518,1343,1121,834,227,1,3,1,1,1,0,0,0,0,0,0,0,0,0
"(0.175,0.209]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,233,786,1106,1268,1618,1801,1972,2225,2433,2432,2409,2579,2626,2706,2737,2863,2819,2750,2738,2921,2962,3073,3255,3291,3527,3580,3452,3505,3416,3481,3384,3207,3105,3019,2960,2846,2743,2649,2756,2784,2755,2682,2624,2491,2401,2435,2306,2165,2163,1950,1882,1817,1770,1602,1509,1337,1166,856,248,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"(0.209,0.244]",0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,6,290,759,1129,1361,1505,1774,2004,2317,2365,2384,2428,2537,2568,2743,2805,2774,2769,2766,2741,2945,3025,3154,3174,3318,3552,3607,3589,3623,3518,3370,3418,3249,3073,3047,2871,2824,2758,2721,2758,2750,2764,2698,2434,2382,2413,2350,2302,2284,2157,1949,1844,1708,1635,1572,1474,1295,1147,762,291,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"(0.244,0.279]",0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,291,775,1040,1342,1560,1888,2120,2319,2379,2303,2373,2596,2630,2620,2674,2791,2935,2917,2831,2953,3114,3104,3218,3388,3482,3452,3582,3552,3591,3364,3365,3158,3182,3080,2902,2781,2679,2559,2583,2742,2684,2594,2485,2423,2484,2386,2311,2276,2137,2005,1925,1750,1683,1678,1528,1389,1162,761,286,3,0,1,0,0,1,0,0,0,0,0,0,0,0
"(0.279,0.314]",0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,6,291,758,1097,1377,1546,1873,2093,2220,2206,2323,2466,2586,2510,2665,2659,2809,2912,2986,3029,3037,3079,3151,3267,3381,3405,3461,3637,3647,3636,3406,3302,3107,3184,3068,2976,2864,2637,2667,2622,2755,2563,2520,2547,2607,2501,2311,2316,2373,2122,2033,1949,1696,1630,1591,1527,1371,1104,679,285,5,0,1,2,0,1,1,1,0,0,0,0,0,0
"(0.314,0.349]",0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,7,284,807,1052,1310,1619,1779,2094,2191,2289,2389,2486,2487,2470,2626,2754,2804,2814,2840,2951,3123,3191,3097,3086,3303,3502,3537,3598,3591,3607,3405,3267,3115,3076,3159,2997,2774,2676,2690,2658,2560,2433,2527,2563,2570,2512,2311,2230,2225,2232,2145,1949,1799,1698,1516,1544,1358,1125,775,296,7,3,1,1,1,2,3,0,1,0,0,0,0,0
