V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
-195.258137374784,-182.6338640979645,-212.44745342239491,-271.8038915130523,-288.091202123728,-322.837223109915,-418.4148457653856,-441.0251186179991,-474.2426823892482,-518.9387084051714,-556.9509423919417,-513.8742459441545,-582.6821520797987,-651.7228454851762,-730.7593447310076,-736.1270106406087,-780.6557220253189,-821.3745059786912,-861.0599235719505,-947.8916458237301,-985.7525189890521,-991.7046162183937,-971.4774325564665,-945.7978131245607,-927.1602332805394,-937.1177120175477,-907.1627316100911,-899.5742871392989,-870.7876063995445,-840.5044426257091,-799.2688162765857,-802.5142223614228,-787.1945789894223,-688.8708925197121,-636.1331959893784,-638.5793545254575,-539.2633124497921,-482.5276515749704,-441.2387714937962,-391.4559309254165,-323.96075428875156,-270.57470206358784,-192.0884041019469,-147.16008671673927,-97.9458444136841,-52.272207707776374,-37.449107240617685,-30.981016066317963,56.870379878896856,140.87470036275784,182.92406592271556,212.63864286899712,273.55195395260694,222.7716914321482,246.50590016183784,273.4883303780996,287.1249465834765,292.5647655028179,323.0804526382943,370.2393298088996,422.5113107086163,505.1572312916028,610.0181852808364,662.3197644517057,688.2366155909386,729.3037973270215,734.483986230057,736.8418192334018,699.6559444223601,736.5153661076805,824.3069756217841,829.9078108970602,805.7395213670753,812.3966893144888,809.754774997792,746.4645272401756,707.9603863608199,699.0135083644808,599.2631859238246,481.3980260876215,444.04949184543256,393.9125581096914,298.32268992003264,262.6086666900008,238.29634572706047,179.24494849101077,113.37689586105226,32.181628101571306,-66.36847939117722,-148.26605555897166,-192.43827510454506
-191.79973843244798,-180.82757494648476,-188.79074385411434,-254.59962747897242,-291.68297933126365,-315.9476021480157,-371.96726934654214,-415.38671294457635,-441.4238280200471,-499.34778622685724,-549.6183554700664,-534.9395272673545,-552.3737968879416,-616.0686513360329,-685.6400559241997,-730.7816226858077,-767.9267823261342,-807.7745892700508,-841.4673697667415,-908.3582734542354,-951.4512223200653,-992.2768308888137,-973.7161920131609,-954.1027841515031,-934.1636020946631,-944.0018331592123,-920.357880471743,-895.277272944136,-890.9149458069638,-853.2987378096518,-819.4960461023454,-802.2923559407132,-800.9380510202113,-730.1399423331043,-667.8943089789389,-641.2349592105111,-590.5044732615077,-511.8994168348609,-471.69634255791135,-415.3644470271502,-364.74381862491975,-295.34617141057316,-223.12100008539198,-149.79022762891944,-123.80388449116455,-75.04326007285269,-50.26379678568484,-33.949736620374395,17.564115164994373,100.66454698985088,157.843855785628,204.0611768666146,250.69335730182542,245.59152909606692,233.11233233040676,267.8767375952672,279.25145516464914,287.9608178290738,312.31891743967014,347.1724563026805,388.3927527314638,460.311875725721,557.8181051284454,642.8909536034012,685.6285692124131,712.2507328532442,725.7301536095174,735.8358588255097,717.7998654686494,714.8955354726214,784.8011955302543,835.2355264602382,810.7867145152593,796.2478182447195,809.3141366335602,769.6058573406053,739.2887503284378,708.5462178070845,660.172658798977,534.8689440238367,465.52127877354593,401.9923981528039,339.88442030137855,286.85849661999055,254.36597195874387,210.9506416617547,144.91451201773677,71.89940627244401,-33.91487264720314,-102.9609967742026,-178.064149763583
-191.8855016717341,-180.9084319836547,-188.87516162168959,-254.71347168414079,-291.8134053545543,-316.0888780956588,-372.1335944843554,-415.57245308348047,-441.62121065309145,-499.5710695536592,-549.8641172782999,-535.1787254386106,-552.6207907916082,-616.3441263892985,-685.9466398260374,-731.1083916359864,-768.2701607317817,-808.1357856197164,-841.8436318407896,-908.7644457910704,-951.8766636658958,-992.7205274025881,-974.1515891385931,-954.5294111430164,-934.5813132823505,-944.4239435112144,-920.7694184319969,-895.677596112533,-891.313318361094,-853.6802902790737,-819.8624837005931,-802.6511009101384,-801.2961904122875,-730.4664243559583,-668.192957871302,-641.5216873765376,-590.7685172943803,-512.12831262239,-471.9072615436598,-415.5501772098518,-364.90691379726076,-295.4782354299391,-223.22076862457874,-149.85720631846112,-123.8592433892353,-75.07681566121207,-50.28627223881211,-33.96491724266897,17.571968957831103,100.70955913481816,157.91443565442276,204.15242280721657,250.80545481856393,245.70134533068995,233.2165684930909,267.996518659273,279.37632243280024,288.0895794881167,312.4585708212066,347.32769444162,388.56642252299486,460.51770414794163,558.0675334541511,643.1784222472015,685.9351479779688,712.5692157173628,726.0546637956611,736.1648877770148,718.1208296270187,715.2152009600419,785.1521193285561,835.609001965999,811.1492577365126,796.6038603995493,809.6760213917182,769.9499865445255,739.619323240131,708.863044197565,660.4678549560163,535.1081106338002,465.7294365799662,402.1721490248102,340.0363995955427,286.98676537618366,254.47971168486382,211.0449682260464,144.97931053139325,71.93155608680269,-33.930037680075664,-103.0070357765275,-178.14377113538072
-198.47856418844614,-197.84021937926767,-189.03367843152571,-252.01390402401378,-296.9602611877627,-311.6984853015199,-371.90246511049423,-414.28086678284234,-439.5741444355495,-494.1813002343254,-549.4125192156753,-540.0634960754812,-548.0841473527928,-629.687365963852,-676.8665520425473,-725.57612286048,-774.1930779331827,-804.0838034901312,-830.4590447857876,-915.3167563504123,-951.357737524054,-983.2187058431865,-973.4704578634487,-965.9287487352008,-931.4320316476751,-930.7356563862794,-936.808450818896,-894.8037824423224,-881.3250996237282,-853.3963187723252,-821.2375075155487,-797.2840256735819,-812.2346442267547,-729.7494530500214,-674.5712498441958,-651.5068192994903,-590.6419898397306,-506.1685580971625,-476.35113884429336,-418.10393669279375,-351.77036275972796,-300.5368025490101,-234.56293170062995,-136.99550507466978,-120.86219502926794,-81.4821873685638,-42.70943353942166,-26.015848515931452,23.13309372346257,103.75090672753642,164.31685711384412,207.4792422150465,256.60992637276195,248.1793507073202,231.7853832702286,261.6315491202468,281.3896936484445,279.41929971000695,323.12983998667653,353.62990669545655,378.9171843699583,460.12463985010373,566.0631776724343,638.7829748224234,689.3629245432539,719.1589099296049,723.2076941060085,716.9759910838708,723.352680883639,723.0758847879906,780.3412038017465,834.3765968329111,821.6811328933435,793.2103785521991,808.3762001513496,771.3422525892777,736.4674978855045,712.8224223228532,650.6398226867686,536.3016137049746,471.79143421233357,401.24073437168425,320.8905593884664,295.8719044623659,257.0538281411307,212.9875420790044,134.6822133336014,85.59111620511712,-45.37638904581139,-120.82231935211898,-162.65820365282235
-193.82585302286228,-175.4764360347719,-196.23704748362613,-243.61865393382286,-306.6992327229105,-334.3233278109615,-368.9891615768732,-403.18939734615475,-436.0286149115239,-495.30861329412534,-547.6023434809873,-552.4175233733624,-555.4786534015437,-620.7695912605927,-675.8490665706807,-730.1292514704722,-779.2163455049999,-814.5493187287155,-850.956493241625,-903.7028324142991,-968.9207710871517,-956.9961457005614,-975.8691226758017,-956.485233363469,-934.7679241895162,-932.5351444782053,-928.0764886580595,-905.4420095025428,-869.0856111797818,-851.0793726764458,-822.3943266675892,-804.5701437244957,-797.899019136516,-739.5879791314478,-676.3882445913625,-652.538056975051,-581.854315941539,-519.3650726258028,-471.5268436927906,-431.08758944219994,-355.1023496954342,-300.5887799992699,-206.2287050795666,-139.26701563935882,-99.67202288096726,-85.29021973329199,-60.2356244992675,-30.55321209950011,16.18667669830083,86.84849503266229,166.0058648540841,221.63300848004096,259.70512628570697,259.3792874168569,243.53685840116884,256.0776063158316,278.90259269207195,286.3640553467797,319.75286810073686,343.92839075995073,375.1323200021241,451.5100375650117,566.6542872440446,656.4744714894364,703.1337368097101,730.4761508066791,729.5166372142883,709.7708721732605,721.5947306840599,720.577763000144,781.0621509426585,824.8741003456379,806.8868269731641,796.0741117394481,786.3551257419565,778.605027010083,746.8876881316454,736.2749856985216,643.8976636849012,556.1923486633553,458.8559477571545,380.3934951335032,315.69256575792485,292.6876286920193,261.7189583565377,216.05604269536818,147.911000416836,67.85673640586833,-36.612838361528745,-137.3064523539038,-163.69047713367073
-185.2647135584841,-173.02690748122825,-204.35489789493252,-254.99406984443576,-306.1781500280037,-336.29600853117114,-372.6021587139052,-398.1030693962194,-430.4336761721985,-498.79677373101515,-546.6407583372203,-544.9792312337738,-560.552570469304,-605.7101870194061,-678.3632913920634,-738.1231066445133,-776.8691532039044,-813.0150886640768,-845.3177527139621,-897.995187117676,-959.7270114362107,-966.7343252168553,-976.0305761529146,-948.5642141693295,-936.1173045389374,-926.3623448138162,-922.0519386857299,-911.7468972115948,-871.7204927512674,-840.3525604351438,-825.335005648276,-821.7795413931204,-787.4418012143389,-739.8807405955895,-674.9033585957366,-651.1730000172075,-581.3901619936523,-526.2503189878696,-475.1614964282112,-420.1047553879496,-360.8621482077856,-302.29208505414846,-204.5087560245661,-142.24164439740227,-95.39076673703666,-87.75301546646942,-56.82607790500329,-30.44589289975516,25.34114892559562,96.41405355578156,164.67826481718822,220.30093748886574,251.49513089219514,251.29954360983083,243.46380556431598,261.22033538561215,274.6663378104975,294.0527492583514,311.96514281552066,341.38363081606644,382.4176627686843,457.53541569602487,561.3729067429916,650.0901491634161,709.2576015558478,718.6010394552814,727.673330443313,719.9330019623652,716.8674668487944,727.6895038127369,782.6586374072955,831.8759288095671,808.7178834564667,791.1516119542404,782.070028119608,773.4975111278092,751.4632562560334,731.4925494800036,642.5860726492543,560.3961131174245,453.29234071187335,388.4014201214073,321.7302387679208,282.5323860074368,264.9794651830337,208.5858033913022,151.91141028830305,55.487225228622066,-33.07458201771894,-128.76292183498475,-176.29885361025424
-184.2917235782478,-187.6082272131035,-206.2825163860095,-256.581528212745,-310.96528233339757,-332.33765264447703,-366.5712351155348,-400.64411718317115,-428.2981870384959,-493.20272396508904,-554.9939016708837,-550.2014114841479,-562.0808132908899,-603.1211638321112,-685.8693487611143,-744.6797095894204,-778.9467316294248,-811.0083443919765,-844.4269887035393,-885.461301185475,-967.6151671271099,-958.0214652359612,-980.0317520227183,-957.890024494737,-926.1845038140269,-931.9056834534804,-922.8800190491567,-912.146358262753,-865.4917729859762,-843.64765355828,-830.6839628882728,-808.6359231578901,-798.0302200705495,-741.347052322758,-668.7848510625837,-658.3941268223106,-592.8188320070334,-526.783019524213,-473.18800223718745,-425.8807096946282,-346.69793448709856,-305.3776084498807,-204.30102088490446,-150.2025896189048,-98.61443053969697,-95.04260937180968,-54.93331521792139,-29.236115225051766,32.401439054020386,107.32092434479245,176.1876658771118,213.79114421738467,253.02924391811985,254.84265880988255,240.9231229647942,268.4589939531879,273.4943425683708,296.24202507967976,310.70107360173176,345.7039967814633,389.825149034964,463.20414461325487,566.3724559458075,656.560344507272,697.722783846393,717.5382430980138,729.3064785367523,709.9997837354338,724.7439808677816,719.7438135183656,781.5978812918611,828.3291691818836,808.8838840673916,800.1015564214237,775.5802322392918,787.7769084119739,742.8903541804718,725.5824337602417,644.6636715938556,549.1860716052145,453.6073672084477,391.54111000044935,324.3719562031702,283.73349125996117,270.61437081563605,201.77832737590802,146.99570560856387,57.643560314863464,-36.191544298221956,-125.47224724982748,-170.53549479438513
-173.18596730663285,-194.73730093643567,-210.63768534995583,-258.63655002209885,-309.5880978176173,-313.6919264964062,-383.56944764616236,-407.2382322070187,-437.44785990701035,-470.1580543232908,-549.3366973887858,-560.8589620614924,-544.1509345118486,-602.8794869891093,-687.4316854897942,-752.9738284812278,-771.460437079187,-819.898280398058,-845.0959561661198,-905.1283541287817,-951.1201598012606,-955.8957639934756,-969.1309303142257,-964.9397359285048,-936.4582649493301,-916.3173852373591,-929.2352027741864,-905.984894622139,-871.6442627198594,-834.5960366846966,-842.7270641700073,-791.3347076266804,-818.7399789547079,-732.8884384594174,-677.7301327544939,-648.001273852946,-604.7396636428326,-523.8337513508209,-467.9530647423638,-427.32597514457797,-342.31628582107703,-292.26872210120257,-200.84863410015467,-145.39642572440877,-98.35161160101235,-91.03163504730725,-51.44356238346646,-51.92362117694409,20.535384721880103,108.06523246378516,190.47531477269766,206.8306170329614,261.36495000872964,276.3427347490446,243.32498712857821,249.6159889751267,264.66858759179456,282.95837967486375,302.464976995057,344.4043679577087,393.5238773995417,453.75243928355314,565.5543196337363,664.5013569751454,710.2115018347649,725.5635344502548,739.3644019330953,709.6044559565088,722.6647757575353,699.7400282132729,782.1311822482778,818.9231565367066,812.7143099463641,787.8591775795954,791.2048416256306,803.5401990790467,741.5194501687592,722.4320427728157,658.6927529461259,542.4614481712424,446.34495478219355,393.8193696488652,315.0565454001384,280.43297975035665,257.10091300099907,238.51389375100698,118.27224668996487,70.92963039384503,-45.77321264013837,-116.79037210878468,-175.2163826660141
-181.52886380319487,-194.21184426788858,-214.12355477914426,-252.04866161911048,-293.7108081735976,-329.28417630940714,-380.4381797333494,-410.8803244951075,-447.00159686979765,-472.7171949678771,-532.0765033205118,-558.939484429642,-565.3304346907994,-619.9862923768131,-691.2318349515747,-744.2078780754192,-759.7406681884544,-817.2074218796467,-850.4509664614283,-909.2455159990125,-951.5366524170382,-966.9722928290116,-958.8318086600082,-964.0010260733728,-934.6066911542672,-918.1338923238288,-924.5332997838893,-903.8225273688511,-874.1451605745395,-829.6985716060743,-835.8593832774287,-790.5937411060142,-805.4114831761993,-747.6334695731344,-694.3750288348482,-642.1287405226291,-604.8193449712122,-522.6297750214455,-470.24124794932885,-426.43931174034475,-362.79862043340324,-280.8768074441861,-208.15560197864062,-149.45557952382984,-100.0804028178415,-66.02261133902518,-54.39979961913927,-40.933177283053276,19.891422871827533,95.24449034316534,184.89938599035563,214.48516042405834,262.8098691219422,271.91983637252804,251.09151566024022,245.71237104135326,272.8949260211969,296.7502314579137,307.52534706138505,341.3942231491614,390.9184478052048,458.05953902001886,559.3099564692003,667.7471765789762,702.6498644631018,729.9143881423778,737.1579125953341,719.9512942309206,715.0683296193575,720.855949522341,788.7823460895362,806.386824830388,807.169356698842,793.6177609273575,796.8663102358552,774.1646661004587,750.1681294301704,715.9681299145122,663.6583163836017,550.1544244021425,459.1360296581693,389.49858445339623,320.6470992115661,273.8898702813379,241.78157005785692,236.06128293584848,130.1943308304158,70.2342235337746,-40.23221940356538,-121.67043881041783,-187.91101509353047
-187.07510807049195,-194.5768058592479,-214.97784980736677,-263.4382482286336,-300.96934523243567,-335.9046244110141,-359.73215981811194,-408.8198219304249,-440.2112722155181,-482.4427435833714,-531.2062064477258,-545.1091259452326,-555.887878085272,-626.3796285967039,-706.6580692857584,-745.670094750709,-762.4372137551954,-811.2458786408384,-833.6323817993378,-906.8599590977864,-945.1621920808126,-974.5710010661252,-972.4433906251486,-963.8403320485659,-923.160033240102,-931.222221941526,-927.8702925712535,-897.5596948214976,-871.5763524637083,-836.0635553759855,-827.5432663154814,-801.810991200859,-797.4884471454413,-749.0871097592121,-701.4117107755297,-653.1117668791139,-599.6894188439028,-529.798984869325,-476.33719564108935,-406.0308994373692,-354.74686947829014,-265.3711208755778,-205.96557471698114,-148.05458874532252,-113.50461990692294,-71.27811720243496,-58.86050598677888,-35.48325706982701,21.793819315925276,100.41466956072561,194.32692299934266,227.64057036291806,265.57109328949815,263.1016101702926,239.6361301877521,238.39808134568077,283.0024170428558,294.70438564493276,297.4505372490905,330.51882301309746,392.3156577557464,469.3666774301189,574.6472998451416,661.712910864809,696.8874391598195,737.1031334872807,731.6994286281956,723.1005147621142,718.337559933072,717.8920346407201,768.9311660760889,820.3729052623271,807.0245852338954,798.8841540631755,800.451326668952,772.7296758654921,749.7222410958435,720.6290613596365,665.7374073326723,538.6916765883378,452.00265470212423,389.4333711013666,330.2543344648341,281.81891527393344,232.09013539603052,210.25218202539722,142.20019961241462,67.85794333788786,-32.117471305127786,-121.32005147141456,-186.5738433693836
