V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
-425.4515333477859,-429.2145015243532,-432.5552768512128,-447.11706056692606,-455.86239385746205,-483.3421490463186,-498.649641484957,-543.5909000335358,-567.8114875707649,-639.7003345625534,-677.6069160940197,-798.0405468947401,-860.2769752056162,-1089.4821599034196,-1204.886228495932,-1797.9637950168735,-2084.1771528541126,-6842.496326468606,-13512.517522614007,-16919.734033986282,-20074.33491673334,-22721.483279647116,-24124.81070243993,-24709.285746182155,-26707.06662333632,-28606.94938992694,-29379.872154583336,-30531.988668877657,-32054.654557030637,-33417.35792079864,-34082.17132998976,-35277.62809967592,-36646.79751031853,-38222.74442207657,-40111.157355895644,-41384.90930625282,-42331.144355489625,-42551.0247665819,-43416.754010991994,-45300.19019204629,-46971.83276037412,-47821.250167672064,-48762.11055103302,-49199.34984489379,-49290.96798916604,-49314.676166303456,-49305.15437142246,-49227.567208148925,-48807.81157714979,-47883.94201604866,-47060.709205398394,-45414.330867498174,-43579.870578137714,-42761.57802729525,-42672.755322737874,-41855.03150648568,-41670.60907170054,-41906.58799403115,-41878.03094265046,-41643.729058273784,-41065.14317348157,-40462.86196980569,-39168.41045400634,-37599.453063179135,-36427.59866485908,-35080.56753891773,-32511.686836202814,-29952.04731965687,-27246.357857505413,-23775.026850650334,-20540.367520947602,-17220.477158617752,-13731.958226433862,-7005.541470820087,-2215.284266931803,-1901.802967736042,-1291.8731287234095,-1160.696546578124,-921.1254924332198,-848.6438981429831,-721.1864968374919,-676.0622317221369,-599.0644245431118,-569.4204619219936,-520.5126798882784,-500.86509807127135,-470.10898339995293,-457.6684619055153,-440.2266916618694,-433.5345383014457,-427.07315970415226
-426.14759944840335,-427.49042135559165,-431.0173441816926,-439.9154899102249,-451.87566693053157,-469.59921291231814,-491.65092861836735,-521.0093351035057,-556.6688844687312,-603.5077579385633,-660.0191784671237,-737.416810659992,-831.0632183401024,-974.2835767008318,-1149.8719811964872,-1500.612294172514,-1945.0140250068112,-4462.596075263223,-10184.611926864056,-15216.473420467428,-18509.114247562313,-21398.42371030069,-23444.938478690983,-24417.23860469254,-25762.754465127025,-27660.874661810987,-29452.933539195783,-30569.183695018313,-31526.039324836514,-32112.466056277746,-33098.918876434436,-34708.190364809474,-35902.81675163082,-37457.82325242259,-39153.859944206364,-40775.857873621964,-41861.266361656315,-42495.96840790618,-43007.57761438423,-44763.192028767866,-46733.66089457293,-47662.939330843445,-48527.92917363663,-49136.83942516951,-49262.56252987635,-49325.334130586445,-49302.230855710506,-49263.98204979777,-48876.12471767269,-48124.64577776218,-47219.804653182066,-45654.65267546435,-44105.115691219165,-43161.56421001064,-42674.120027554505,-42276.20930246616,-41745.875506386605,-41820.08751421049,-41878.58887496328,-41850.79681374583,-41332.41957015385,-41613.55178051617,-40630.60003379475,-38096.52536041923,-36237.09444935959,-35174.17106526737,-33802.09416380022,-31171.256443319264,-28608.380108586047,-25490.923592892617,-22164.83356667246,-18871.195503315244,-15481.325285689389,-10363.037692873198,-4613.186102674967,-2054.051743624192,-1598.6553903678227,-1223.1044459855932,-1042.2598356849549,-882.5726289892713,-785.9373774882399,-696.9164612145908,-638.3391532314823,-582.9785442288919,-545.5468409327389,-509.76910048177666,-485.9209197713984,-463.2582935448471,-449.2754944838108,-436.5150139803376,-430.5424587174495
-426.33815131693643,-427.6815736668449,-431.21007355624107,-440.1121980899884,-452.07772310260236,-469.8091941666895,-491.8707702958374,-521.2423043903271,-556.9177989204906,-603.7776163892472,-660.3143059954411,-737.7465465339988,-831.4348281985885,-974.7192275322899,-1150.3861463704245,-1501.2832928522382,-1945.8837378886144,-4464.5915247782605,-10189.165975356813,-15223.277465466184,-18517.390596670797,-21407.992013928244,-23455.421881250462,-24428.15677118364,-25774.274278938636,-27673.24321993244,-29466.10341631576,-30582.8527033154,-31540.136191059857,-32126.825143172016,-33113.7190556365,-34723.710129642146,-35918.870693566685,-37474.57251540376,-39171.36758987264,-40794.090795546086,-41879.98462390799,-42514.97047713232,-43026.80844963041,-44783.20788687352,-46754.557847690616,-47684.25181074726,-48549.6284336866,-49158.810959394745,-49284.5902811788,-49347.38995020565,-49324.27634470202,-49286.01043583847,-48897.979673335176,-48146.164709670644,-47240.91898544654,-45675.06715013424,-44124.83729053769,-43180.863900352,-42693.20175726464,-42295.11310642407,-41764.54217162567,-41838.78736334352,-41897.31488297558,-41869.51039453993,-41350.90135860063,-41632.15927721066,-40648.768003686164,-38113.56021900219,-36253.297863544016,-35189.89919333683,-33817.2087677816,-31185.19466840258,-28621.17234370007,-25502.321857549203,-22174.74457041232,-18879.633757031275,-15488.247759180686,-10367.671524434414,-4615.248888509962,-2054.9702127140586,-1599.3702290109895,-1223.6513570509062,-1042.725882095737,-882.9672712770403,-786.2888093302231,-697.228087360253,-638.6245865380753,-583.239223043135,-545.790782163532,-509.99704369849246,-486.1381992758252,-463.46543945757765,-449.47638798895355,-436.7102016375282,-430.73497574699223
-427.2217158668693,-425.22242719788363,-432.1766660376839,-437.6075279580052,-453.1729487443734,-467.05109597896694,-493.141724014918,-517.9089371225401,-558.4291765811465,-599.3146080148477,-662.1704662124962,-730.9317756480837,-833.830809303647,-961.9708279619886,-1153.7126317697437,-1466.3534680072053,-1951.0521904166403,-4144.355251219663,-9877.746197199578,-15243.63891657732,-18507.56416034282,-21543.68185177583,-23625.505918808823,-24416.794694548964,-26125.744256518534,-27717.469301994275,-29162.84626669086,-30931.829595727868,-31850.98827956247,-31840.248685056435,-32832.84152474698,-34759.703479381584,-35908.5000144383,-37514.656887092344,-39165.442569599385,-40854.2571169379,-41610.95524092769,-42523.48129059624,-43603.60792299514,-44730.22727229767,-46825.21799001416,-48121.82219817135,-48755.70004455191,-49347.871311261195,-49383.2619783528,-49384.588199470316,-49346.15475301734,-49240.61233825906,-48765.67346227517,-47958.876763788634,-46846.94940448177,-45087.431474802295,-43521.621875059864,-43309.41968600273,-42677.75768466409,-41962.82928514416,-41815.90013873034,-41808.931953212574,-41935.78324101351,-41848.73729492921,-41388.94680951721,-41346.80980113648,-40366.70396995828,-38419.02324264004,-36605.262234590184,-34877.04281761355,-33865.14635955829,-31509.277103724653,-28612.319109108692,-25411.836123227,-22050.361460328357,-18868.62483520094,-15479.59896795249,-10055.239720973832,-4284.527324681846,-2059.3004345021536,-1559.1002740083534,-1226.2823494804068,-1026.7866703441205,-884.781450171205,-777.3972313493704,-698.5928716466462,-632.748777142699,-584.3315782283809,-541.4840795984818,-510.9233358599601,-482.7301244102391,-464.3171866284243,-446.59383070850834,-437.55413257223705,-428.1516279139372
-427.1234609374123,-427.0810426630004,-431.8509523674723,-440.016461816404,-452.6156010393844,-470.15596458400387,-492.3334709663858,-521.9314825683077,-557.3425341814044,-604.6185576770292,-660.8064660419678,-738.1401155158861,-832.2895086864331,-972.2450231493677,-1152.4579067262223,-1482.201816508952,-1952.30615933487,-4173.782160604495,-9900.421249448733,-15317.405971876105,-18797.69550601792,-22269.185437533884,-23606.64042329265,-24515.62367641786,-26184.480427537903,-27636.291053180143,-29611.991672350585,-31572.748125974478,-31668.090929183854,-31300.864394677876,-32347.12441864029,-34147.78686225288,-35978.86222291221,-37467.17021473302,-39233.230512531925,-40864.946538178214,-41693.72205357857,-42558.73766712372,-43872.956935439164,-45036.76354033606,-47139.22366735632,-48507.06509324186,-48946.80588832281,-49417.17892970248,-49452.13917193489,-49434.11186162151,-49399.469931748186,-49274.381468145504,-48798.66214994688,-47868.304255008676,-46560.93154131221,-44868.71835539284,-43307.82789444804,-43129.686442119746,-42733.52680794127,-41965.224275823166,-41898.34851407775,-41821.344694510524,-42095.04611292174,-41849.0701401023,-42440.856031510906,-42266.857640126764,-40820.109207632464,-38294.79033158969,-35689.421621355854,-33942.958193723585,-32633.103495563937,-31585.72082371378,-28558.606273986486,-25411.628423469265,-22714.024765554608,-19171.842397084478,-15520.117091485745,-10087.47809818199,-4293.386799967771,-2067.7095263136557,-1561.19458233233,-1230.415346852841,-1027.4248229080536,-887.278822872787,-777.6869116421597,-700.2328559535026,-633.0584154568323,-585.4215183794834,-541.9626362706741,-511.61694714890774,-483.4564327279916,-464.7070506646481,-447.6312449839703,-437.68966841417,-429.5629010327081
-425.6289153174911,-426.374332360387,-430.3254648313698,-439.3242413333573,-450.974013204864,-469.4595341347479,-490.4527889298047,-521.2173605146578,-555.0465599309632,-603.880370506903,-657.8374494049204,-737.4269087220806,-828.1416377102234,-971.8712583003015,-1145.972737373663,-1483.7492912559396,-1940.2676293368238,-4189.569584641386,-9875.485895990972,-15592.035160392965,-18820.296335552433,-21322.27782944443,-23018.683429965036,-24515.536939265105,-26154.07283850267,-27668.809990280915,-29620.235089234127,-31638.174265701968,-31666.916396310826,-31654.692127883372,-32388.921559808394,-33846.223516112856,-36068.84941021236,-37432.26622795899,-39326.367202976726,-40548.282365400046,-41742.87061156935,-42624.04902841545,-43541.7858500194,-45266.2305992038,-47022.95655351512,-48393.13406581857,-49074.128593484966,-49576.77708661445,-49702.6612010137,-49531.45514605957,-49400.65421802214,-49125.641214610965,-48698.41873555802,-47827.11418247794,-46163.656991921416,-44356.669864896525,-43255.0533768935,-42782.745478417164,-42763.63835560581,-42009.56854136312,-41569.78415169353,-41915.44455937938,-42059.60827799166,-41945.508678150734,-42146.456222764595,-42321.08097412125,-41184.15986836014,-38301.90994091954,-35758.61221030721,-33956.587907195666,-32671.066899011235,-31562.253401349775,-28563.006264842053,-24825.854098008327,-21766.988181844252,-19194.75646147074,-15794.448860015656,-10062.64363311389,-4308.879596119286,-2055.70458260045,-1562.478387324403,-1223.9354025262644,-1026.820633098625,-883.1222574304368,-776.7729384438228,-697.2475211796469,-632.1444996932424,-583.10455016068,-541.0934429940672,-509.71197018549066,-482.63248333646135,-463.0438090580345,-446.8521010250621,-436.15068996128986,-428.8238950393273
-427.24246034516784,-426.72609180183304,-431.9840445909118,-439.7758138465318,-452.8061804224423,-469.9846782909495,-492.6366453573158,-521.7701808521118,-557.8770431444717,-604.3630184788537,-661.8861184960191,-737.5906158345964,-834.7311271379448,-971.0059114305234,-1158.95469233463,-1479.3670466365033,-1976.9583684866407,-4170.243239084895,-10214.122089523524,-15636.525905347946,-18517.74866338329,-21441.662049575818,-23006.769822291244,-24929.58130429321,-26473.64046610211,-28043.06181073034,-29697.45453417286,-31354.275877501754,-31762.319465801193,-31544.344011230056,-32324.354658309676,-33893.90037415493,-36109.52374929483,-37494.87828733054,-39263.555422455196,-40498.24127461155,-41820.50193740437,-42814.13597407789,-43812.19398572455,-45418.47093961824,-47121.88434149462,-48668.408464270964,-49420.42431215574,-49717.9083364407,-49806.40930634298,-49609.19309632512,-49483.86493155255,-49182.53397289394,-48717.07798337087,-47637.87353111003,-46041.75479456291,-44404.83068757849,-43245.647761315624,-42649.27000756014,-42710.10394796704,-42060.426760184935,-41748.84209595164,-42090.86501359767,-42117.11386628587,-41963.40615507331,-42201.34036766069,-41758.64195470945,-40563.204029229455,-38412.094598305965,-35421.05866047391,-34043.09589237557,-33031.06430971678,-31892.059268006047,-28971.951584728053,-24817.813043261674,-21879.877115154886,-18893.46162899492,-15834.393325335663,-10402.057320152006,-4286.246934935771,-2092.9427713238083,-1555.6215815397957,-1237.3249326929051,-1024.0779089501375,-890.0250646525112,-775.4975448809938,-701.5312773557495,-631.5239448477143,-586.0979270307682,-540.8220714475632,-512.0025292111261,-482.57846120364866,-464.9385636751304,-446.95712563040684,-437.8370098693598,-429.06184650610993
-430.1613452972286,-422.21523340793385,-435.1727518878876,-434.8390872140625,-456.50060603202155,-464.2200700768421,-497.1599399536153,-514.584801257699,-563.7250906940312,-594.7476736906135,-669.946723375257,-723.484587404126,-846.8908901435623,-947.0714405675154,-1180.2264787466831,-1424.6988088021908,-2027.37687135906,-3802.8968074285417,-10255.027096454338,-15646.580617525866,-18252.606344883996,-21471.803855120375,-23625.68040636183,-25295.25048290588,-25863.765173394233,-27746.07559247982,-29683.344366490815,-31128.244086994462,-31926.38517399468,-31943.46843915971,-32355.37984064948,-33432.89771546797,-35840.98037783684,-37954.97705616703,-38884.37786565345,-40641.28494375007,-41831.695515896135,-42742.621763165276,-43782.04825656927,-45123.97801534451,-47232.69865601704,-48578.821808140834,-49386.24535913152,-49787.69858599522,-49882.37055486614,-49678.22616776248,-49562.3411464124,-49218.194038485475,-48785.89238169164,-47207.729869954586,-45550.86880710924,-44488.86756860941,-42895.95161321703,-42259.16011861749,-42217.71315285709,-42138.48576438243,-41821.5513293676,-41897.17262363709,-42523.8044488372,-43288.238591698355,-43199.450767980234,-41846.22555420699,-40099.981464021264,-38008.245440552244,-35784.12385490225,-33398.32358558761,-32306.56824806285,-31251.537687891952,-29324.5901445133,-25419.5031956403,-21911.11646067032,-18616.690049394954,-15847.87069731115,-10435.191666326371,-3922.274150713713,-2137.908369836894,-1503.8580787864355,-1254.6618678928935,-1002.5089132952451,-899.2922296029066,-763.2236181132977,-707.4569646185558,-623.2798670415452,-590.3914227262434,-534.6215885171268,-515.438919191918,-477.4710140142695,-467.9427814768545,-442.39432325648266,-440.6903588696761,-424.6738899451563
-428.04018075701464,-424.70581389976803,-433.3611359837741,-437.35518702375015,-454.82676839222654,-466.99003894284357,-495.4124986560547,-517.9556937893246,-561.561414036018,-599.3566273702404,-666.6649627434483,-730.766996539171,-840.7356683932426,-961.131176170041,-1165.5011593066524,-1463.4311037427199,-1975.5572704773526,-4140.698880028653,-9991.474984552002,-15041.475941801285,-18661.53868911765,-22054.058754583464,-23891.595171739635,-24813.51112864962,-26194.153731413728,-28247.214304586883,-30052.24374509034,-31038.907961817637,-31457.14126280262,-32033.10366477065,-32333.817788803044,-33203.88868857985,-35247.179432014615,-37729.60913071733,-38930.439881637736,-40720.00353823916,-41922.4716126241,-42968.745324847056,-44136.864317807136,-45419.748533077276,-47430.403353198075,-48705.83113154858,-49699.26772618362,-50162.1278007213,-50108.100907984066,-49869.58101614976,-49587.88271324449,-49209.058746055096,-48626.00454966626,-47104.8138662727,-45626.31070033571,-44488.142653762996,-42784.23130927884,-42083.640984096106,-42156.80160618,-42209.759556284596,-41857.390899624916,-41959.4229807334,-42279.78488091526,-42747.3756896924,-42960.29236463389,-41959.44973995361,-40155.90379372756,-38600.27919413098,-36624.30975254481,-33774.47103204493,-31853.528050282293,-30543.936926189457,-28629.63009357764,-25310.11022578759,-22514.247585184516,-18955.180900838775,-15254.913250657391,-10140.232009812999,-4267.912039232909,-2068.3215833417817,-1547.937571666838,-1228.663498256819,-1020.3464522706219,-885.518414255325,-773.2161785372633,-698.8566027820068,-629.8246844855885,-584.4869129841323,-539.3436521016866,-511.12753498110027,-481.13431401161546,-464.6522112561813,-445.41826835772474,-438.09024562346633,-427.32818892404333
-427.2861206906318,-424.50494411891896,-432.64408146758075,-437.18881160391936,-454.02074024593105,-466.91181814237973,-494.3476459538758,-518.0389941493986,-559.9761563505261,-599.7390839958065,-664.0358724976646,-731.7940607364183,-835.8539269783862,-963.7296539866982,-1154.7912240576295,-1470.7012651907767,-1942.7353609809536,-4171.28208326409,-9683.86735772984,-15039.587688424419,-19018.140118090672,-21741.93412798057,-23374.821180362527,-24541.650981701518,-26583.69854624037,-28856.152513299618,-30588.27158312169,-30605.530501022782,-30929.874757329024,-32125.0248369946,-32530.619416814978,-33479.44879181739,-35028.776510244315,-37499.75280985685,-39362.961932373066,-41073.22035926893,-42158.65010964229,-42869.61854894722,-43978.794423647516,-45292.53140692631,-47222.78112068058,-48907.608164915284,-49572.12520724037,-50100.50200172615,-50253.82919099016,-50036.163457615476,-49583.41494616212,-49251.500200861454,-48274.68089711543,-46707.51989306182,-45667.79726235807,-44115.39639109719,-42497.593946322806,-41766.62910568738,-41811.22366946933,-42160.84990259723,-42276.90022229858,-42361.27330800184,-42786.825263318715,-43321.88221884545,-42724.18973585729,-41734.20868204142,-40239.34740923788,-38059.269012039724,-35942.16795524329,-34048.60269633754,-32471.677893037653,-30911.926381644927,-28367.51748770523,-24784.6494102734,-22203.29842233684,-19306.095191599667,-15253.570181787158,-9829.069967718142,-4298.82018398775,-2033.1125326041838,-1555.423588614903,-1216.2874788010379,-1023.0961841077659,-879.4362387389217,-774.3516709960429,-695.3220129189405,-630.2849658962165,-582.2186040832958,-539.48158388287,-509.5663241336537,-481.0922220382465,-463.5148941641125,-445.2724885265473,-437.20397080518694,-427.13401749524064
