V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
-443.43841835132054,-434.3906674435409,-457.39758251374525,-455.9297991891361,-490.79303294286893,-497.5318713333643,-548.9025328488627,-566.1931548580452,-643.465415275223,-675.112245391925,-800.3126203689841,-857.3596258094739,-1090.2723726087397,-1201.4013862042232,-1797.6198110624312,-2080.35134004214,-6841.323673672525,2259.9014416727305,1060.4531598564463,969.9321795243944,1237.9481298205485,2251.072571219571,70.61369090410905,-405.9344084493352,1624.5013696702579,995.572512555705,-75.53800230370489,695.0282842290682,830.2476184533195,1150.1378569861693,-528.9446524905287,1259.3708522361371,-393.46346129760053,1622.5607994601414,878.2216645061617,1810.3195803757646,823.365449687917,33.98301442429151,278.15947329650436,2052.583327717386,1399.9735210889519,1505.235471553372,1934.3257061684674,1492.7275190409578,1427.1817699231278,1418.4633467873832,1470.4759784012308,1892.5158729990628,1446.8229871361857,1313.971007699484,1941.625104623473,117.22906176756389,-174.13481025578318,483.45793395150474,1342.1051342673456,-679.8758843991574,1544.4443022311805,545.3509129436476,1941.6026601104018,818.4521425386738,1899.2267522121895,1510.812193337965,1362.4184459576531,612.6509847748865,2239.7164021262643,1735.357728789467,778.0236061073425,1515.8261403091262,930.9212997598318,183.01738498295012,503.0104084727095,758.9528577018287,2039.4954369311645,-7005.297605282494,-2212.1978566852695,-1901.9683975393066,-1288.9817900214432,-1161.752755762179,-918.2827825792754,-850.6858646024062,-718.3752865694029,-679.2563232197269,-596.6949833124437,-574.3769118691773,-519.0784788759274,-507.69977786781755,-469.29312770715694,-467.1625406304553,-440.7509395673447,-446.55727549129506,-429.5971216600752
-435.390813416436,-440.2118959444032,-444.8518544636015,-458.07839689647636,-472.43196942380445,-495.7070666027147,-522.360921416215,-559.3961565010223,-603.741790438825,-661.4458553291195,-736.5499740238727,-831.4559545991789,-972.536520567623,-1149.1747032239507,-1498.0771565718019,-1943.5233289267837,-4459.498783845727,-2296.789182144846,1662.4913313386478,1005.7330635198002,1106.780103791711,1726.4716476382494,1164.4657317449085,-218.4335099823435,609.6294571821944,855.0307435769809,1428.3721710485115,415.4450627388669,1214.2935037821017,-744.6657018773082,962.6891632263101,345.1210643574259,491.5348881828307,601.6371381869217,1257.09024145967,1330.7394350194186,1283.3552988054187,401.152846995123,-232.7818901902685,1919.5665954862072,1759.5524161131925,1292.4086202293765,1939.7873497529251,1571.103282369195,1447.9361863886447,1423.3968814877012,1455.7896576185888,1825.1750463516685,1448.9160274006151,1541.8428791886531,1593.4836745480268,276.53939778150453,358.2854477475176,183.5230634283253,943.2059557602191,346.65706503113995,419.177519292836,1060.8464254018454,1165.9244549491646,1405.699739097009,519.1477751866241,3935.7920444804463,855.2138247354391,851.7554610273869,180.6763823916308,2573.0767817791802,1255.9485698809679,1212.361889604772,1218.6417207651082,580.6230956360642,339.23064035513517,643.1166944915693,1396.6332695686037,-2475.7934319498804,-4611.662013017392,-2052.471431018563,-1597.7793580304299,-1221.6844966275683,-1041.9008994504486,-881.6182811497785,-786.1425696525375,-696.4944138992279,-639.4063161726235,-583.5892088387444,-548.0394969679626,-511.7048250817437,-489.56045988887564,-466.8502782332241,-455.07930752389706,-442.40736837853956,-439.30030274197776
-435.58765657463016,-440.410918746914,-445.05297502302193,-458.2854972659975,-472.64555914144773,-495.93117915060583,-522.5970843537924,-559.6490633211439,-604.0147462226874,-661.7448995145515,-736.88297329392606,-831.8318615107625,-972.9762109659335,-1149.6942529501464,-1498.754447478354,-1944.4020090879276,-4461.514953681034,-2297.827576209232,1663.2429550157144,1006.1877623017443,1107.2804866301462,1727.2521972529885,1164.992194649421,-218.5322652629378,609.9050748203877,855.41730881158,1429.0179478553719,415.63288828706567,1214.8424941624141,-745.0023703232662,963.1244015671157,345.2770959460312,491.75711446035774,601.9091424431666,1257.658580537239,1331.3410713999913,1283.935512494637,401.33421093501255,-232.88713247150497,1920.4344446447199,1760.3479217690483,1292.9929269869956,1940.6643408524296,1571.8135888855725,1448.590808220374,1424.040408932191,1456.4478300582512,1826.000220446554,1449.5710922251417,1542.5399568771174,1594.204099392457,276.66442313056035,358.4474310436975,183.60603545779577,943.6323856099842,346.8137910561074,419.36703231008653,1061.3260413108835,1166.451577352382,1406.3352655427077,519.3824854388657,3937.5714429246464,855.6004727423227,852.1405454843216,180.758067417245,2574.2400873528964,1256.5163928010015,1212.9100066891986,1219.1926770040066,580.8855993002479,339.38400884280674,643.4074519382975,1397.2646970014996,-2476.9127550572475,-4613.746976887098,-2053.399367360214,-1598.501724982704,-1222.2368285262305,-1042.3719499578392,-882.016866791551,-786.4979900735307,-696.809303777178,-639.6953961319904,-583.8530535029221,-548.2872693647975,-511.93617032544734,-489.7817935139289,-467.06134443017805,-455.285051984649,-442.60738376911905,-439.49891340698105
-434.7682132282695,-439.7789429513206,-443.9057119901003,-458.08748017978394,-471.0324039682175,-496.1561017908795,-520.3131929077197,-560.3401703475278,-600.3576273283204,-662.6793626976695,-731.0625529819663,-833.2739650032248,-961.1129081668101,-1152.1749620956844,-1464.620383622182,-1948.8200610712167,-4142.028956607633,-3107.837743100673,1980.2659564997161,995.0758923158003,1023.9223641637907,2014.5287412116131,1078.0930529702414,-542.8771272000131,1706.5569666310305,-270.4519825102758,1463.9799601120114,1184.2956629715086,1250.049124017505,-1558.0315630133705,1262.8454507471265,345.9147845433037,514.1410498315004,622.7372678790044,1242.2905551075567,1624.2851568272297,187.81056098547057,1304.5606298664445,173.59131116072328,857.0216552664485,2498.2666139014154,1287.4843283853359,1933.8951234803087,1649.872150010434,1393.3039933510097,1431.670247239804,1537.947431426431,1766.1242612495316,1514.2954761260241,1576.7654398597417,1446.1313110816623,-192.02046331231682,-37.386475648819264,1534.1331285498463,-127.50447002138414,701.4240247103579,414.43885622314366,1106.8805501768438,1196.4086679152933,1420.4621488518485,824.8710863999622,3135.6839732543845,897.8494739164599,1625.9519950568492,226.42837688337437,1453.1254419942318,2383.5027359708547,892.089895586523,1393.2967679664798,226.8227050405295,516.5574941372281,633.1592624469972,1743.2895949260756,-3285.9232479895186,-4283.446255630043,-2057.330714738416,-1558.8394359510207,-1224.2345160233774,-1027.1069751554885,-883.1155188126525,-778.3629918681546,-697.3614434913588,-634.6768496359427,-584.1761620088066,-544.6253025411487,-512.0434243490744,-487.37354618580395,-466.6687043825236,-453.65907802163844,-442.0145439653446,-438.4182402774942
-438.1085904480398,-438.07028682585513,-447.6302649125552,-456.29437024372555,-475.3185390620072,-494.30526068720906,-525.4302026173858,-558.2635163515389,-606.7106375072929,-660.3300030191335,-739.2259873696584,-830.8363535620459,-972.261527854897,-1150.1037188803264,-1481.2760422951171,-1949.2936802587953,-4171.788111312064,-3123.164209225773,1924.4286444304532,725.0997548113672,1451.0839756435757,2863.1422564896707,-412.25256632327324,879.5924835245331,304.5158291542778,386.1255671984582,1473.0022228392224,2580.009628834933,-627.0480644791711,-404.93984592583786,-244.40594105850187,988.5401751014464,487.002095522726,699.5614699134658,1225.2305991868636,1631.876515368986,168.07311776878606,1108.387042395906,572.2119642096915,640.69021140569,2786.278047313419,1402.9406771396166,1799.9750618202302,1631.3257773484952,1383.5780252922198,1433.5623805849605,1550.6924853126675,1788.9838251736792,1651.874762822314,1464.830572535862,1162.5314237603768,24.95988876681772,-435.14665081105477,1731.7571109019818,-105.99708920357774,689.9565640430401,437.22711095529377,1003.5192658286554,1235.5043326714645,419.63601170087526,3331.960746738157,1755.2967801273203,2749.230520550685,-237.37075623225797,1032.3813387766209,-112.30809103155238,2139.4943597752126,2304.3131558819823,59.8915342685014,1057.0774062518674,1005.8117117692865,349.80204699134595,1721.4057974098084,-3311.6689335973088,-4291.6189390066265,-2066.8597284241227,-1559.8239471931267,-1229.8817678809485,-1026.1937775898607,-887.284885046561,-776.9285709983643,-700.8606939236738,-633.0616420868241,-587.3485776956369,-542.9423599328485,-514.9903236565442,-485.729487119333,-469.5644990363258,-452.03448575960925,-445.1067372056535,-436.7640883739697
-437.1016449697634,-436.7209503565904,-446.7449903641393,-454.81287972859604,-474.4225720416092,-492.5954355631626,-524.7112090315663,-555.990725970343,-605.9417444613572,-657.5047667472055,-738.2185370546028,-827.1089092768482,-971.4830740451446,-1144.0028300885554,-1482.4663554248118,-1937.6296399246878,-4187.42697439605,-3089.185999714232,1673.0394001634857,1859.3053462739524,973.3550623319503,1587.885740104913,199.92179867606694,923.2008399499888,355.93930305884464,411.5103182089486,1464.9628184661487,2624.640774074023,-934.4007959212183,725.4395411836186,-1351.2135638958478,1309.7866425185625,502.01835315804357,708.912023968507,1573.3927320937298,529.8092306553357,1604.1664206940452,17.667651714791866,794.9784008883843,1194.4966719563351,1991.593891043139,1816.5419117253157,1623.31172644772,1929.1227134380313,1439.3670681392543,1457.4865538646666,1531.151190925468,1571.1464148854327,1878.9447758246167,1694.7980682185064,454.99638954973955,66.21969309902752,66.17906635548346,656.6563204591713,1365.1599202742523,-408.2216321630872,797.6081398748382,1015.7995554933973,1258.2942063937678,741.5500629853015,2234.0011167150556,2889.5232773116945,2449.042874782794,-195.95434888839227,1025.3522544478762,-86.84235867673755,2194.8468930310096,2349.8578190165686,673.65665551832706,-220.39019433903948,528.2045707009305,1483.6872581040848,1470.310544889016,-3277.7963686990015,-4307.126264981495,-2054.911902140634,-1560.9121660107458,-1223.7897394343631,-1025.1840145700924,-883.5515479488317,-775.5574119954925,-698.3432577868706,-631.7925658335486,-585.2175935176625,-542.000756302945,-513.1295824840644,-484.7344689248424,-468.17200660839626,-450.85868382712357,-443.93300003853403,-435.47494886201355
-438.4017839801039,-437.6798559791566,-447.91580946615926,-456.07518529300194,-475.5188476131587,-494.36413511727613,-525.58383311595,-558.4780846394534,-606.6362538745971,-661.2938140318968,-738.39018370063,-833.4758913567725,-970.41690652069,-1156.858921532569,-1477.716443816229,-1974.083355826018,-4167.758059639453,-3416.7888108814773,2790.4411749701762,736.8097172800213,1254.8682505809431,1567.9616897938508,-122.15779056717153,1754.8530195966775,-275.6966984222191,1539.4319313275282,325.943182094701,2953.745140657195,-830.9986259042689,442.14361619479985,-1047.407847202896,852.500016527357,697.8697042956584,842.8746890860313,1258.0794104456031,656.1072764420635,1476.9375128797176,289.06417768696315,810.3485312827303,1131.2871714949022,1789.227837498818,2235.5662364819955,1591.978791369303,1869.6178996579301,1427.289256353421,1460.8243445167657,1548.947114942114,1638.3931765653174,1917.0430419963284,1283.8379357166298,662.7692563161182,134.3554844214905,54.40612206393784,390.3331831332505,1501.1799361632518,-528.2139031974607,1123.2078091245091,895.3835081313714,1004.3440616248173,1547.0630320327346,2550.8397666051264,1312.15111066488,3026.8709997702126,124.43040737734427,-74.06119586544482,1037.9341171849778,1578.5168935385946,3182.5418499494713,357.892453192661,-244.0604767273556,812.068224094656,360.2525395195671,2589.3121807597645,-3606.1825425963693,-4285.870953420208,-2092.2408375699265,-1555.1418433251445,-1237.1792171107036,-1023.4041938944216,-890.3280573518899,-775.0968136614059,-702.532226956697,-631.8187453501392,-588.0820212145536,-542.2473829495395,-515.2845581312567,-485.1980559775261,-469.8736119372263,-451.3890415170121,-445.4183426698576,-436.214049393616
-436.470081947242,-439.071106257205,-444.9931561146101,-458.4654235053677,-471.3516977923261,-498.2195925797801,-519.3997863147335,-563.99639770021,-597.8856470156013,-669.2778070726955,-724.904918002147,-845.5833820640698,-947.0923846250251,-1178.2818778431986,-1423.0805391824965,-2024.9676846476727,-3800.068423377432,-4580.438733152382,4279.263681536919,-460.37150519024135,1671.427078540275,907.7441191599265,1899.4166157108991,591.7117377290513,-608.23821219900594,1575.3667585469511,973.6319932046944,1246.3273750076999,723.0530502891334,-291.34723429854796,207.88583573162487,-758.7492695454101,1887.895523077861,840.7165945345333,168.97668997932942,2097.9513793761903,183.2079686819439,1441.0642927896467,-194.31204491489805,1498.1715319645577,1904.871965704228,1967.579099175237,1728.6112647737318,1896.708495054561,1461.7231766702726,1482.7820721918265,1612.709442612978,1666.7819456473446,2444.965089443909,48.87523934479476,1192.5917780389248,505.9521460051088,-544.0062309431174,584.8614365448482,564.5189116511086,931.2332609838895,-46.23083383172567,933.9705622279757,1136.949998850636,2636.240749934113,2681.8428476403164,1626.584707476857,906.7470272909434,2041.2352196932616,12.78169686466232,-103.59059129512441,1639.3076728075425,2063.0862749592216,2387.2484223646575,-887.097129654944,1221.2208987306333,-825.599107948011,4071.282270064263,-4761.769499183265,-3924.143761900035,-2137.0681990791545,-1505.659491325127,-1253.6658733107408,-1004.5272533147855,-897.8900615901653,-765.889675543237,-706.4129925992959,-626.6158391733093,-590.1569108520341,-539.1954066904913,-516.232368983033,-483.5281843138832,-469.7857720335517,-450.9150169517891,-444.370414578511,-436.6911276603937
-434.99618868337274,-440.1532870426421,-444.33608460731887,-459.10321830698007,-471.6207483261888,-498.210859123544,-520.7901859861782,-563.196048623912,-601.0178552800274,-666.9802198730173,-731.1045143810514,-840.0415074928586,-960.5604088714966,-1163.7904998258746,-1461.9724075581385,-1972.929407508008,-4138.883012204944,-3165.902871793438,2324.804393590238,-134.84275620063016,2164.9186490368133,1595.6396633147347,1419.482732726332,-580.5489339222669,1005.4988996742893,767.9313759229534,2079.088410057325,273.62177796827825,1025.4548976411606,19.626069937490364,-246.32659667076737,-935.9501462991399,1414.9316250816253,1191.5755499088993,193.7921023504731,2130.568085795528,61.08454107331764,1648.4704420746689,-60.13319535490418,1522.6789165821956,1829.77904478286,1768.8353673430831,2148.2825092186577,1818.8655717336035,1569.2102149283583,1493.125268424866,1517.7715969470216,1767.5186075161043,2041.226785470147,269.9521231317277,1283.3769390529453,510.5929206245945,-666.2699843633304,423.52768293978613,714.5723260582123,1004.574516381549,2.0739230162402995,1312.1761372554467,654.5484546154744,2497.217702279625,2181.9351759394553,1992.4302630330492,688.930817916802,2494.624026441091,593.8652163482105,164.81269634327884,612.2785365036299,2207.17319292013,1241.5405898540369,176.32590050494755,1703.8231969048957,-429.13479042443936,2110.1824923992076,-3314.9765856530616,-4267.786822221413,-2066.0245041698586,-1548.2530215448537,-1226.710365180152,-1021.2142449026786,-883.403995449611,-774.7754611761366,-697.3152636719882,-632.1702865347125,-583.9496363991262,-542.9108430515631,-511.8179608010679,-486.20343465857616,-466.6406352521863,-452.8681967707826,-442.08022323851765,-438.18178846630894
-434.4970232774092,-440.23320944017,-444.11081490467967,-458.9262054425679,-471.8648242625381,-497.45409275836323,-521.3799088658196,-561.9701924856688,-601.9405875837402,-664.7726799850441,-732.7459686782894,-835.4519058206084,-963.829886889642,-1153.4676989933055,-1469.9841234251678,-1940.5427056424112,-4170.984528383032,-2841.106106668719,1228.9661098291301,1024.3838095679052,2171.12513328783,1110.3031057598719,893.4553429812406,-586.4815654149186,1584.7686638164103,1158.4320558462919,2737.069314705672,-1515.4995801814648,1623.2445349448026,-174.15215450226495,-15.612291301522438,-42.16173119458228,320.23303056512714,1156.0263564162221,1030.646614804355,1699.7864931553586,746.2524750531687,620.056408008437,759.9593374549775,586.4849319141031,2365.2021591786483,1893.1213563692827,1722.4641831236975,1966.5736059785822,1765.3749510034136,1565.0809533279466,1389.2580293030555,2301.9106805758156,966.0410595105941,806.3716395641165,1492.84333092065,-117.87639659904819,-172.28846009361834,-209.9219081801271,752.3372336090971,793.3493402201718,838.4332552545092,589.9803628950086,1505.1585722245425,3162.673461345732,1120.7395478770154,2279.6668504482186,1285.8512623931613,1006.4619701460471,598.5943410807369,825.358469829944,1190.6950563600287,2241.1112895326833,714.8912145867283,-300.52711795621104,1708.8387385641602,735.9970617893185,1014.0496903281982,-2986.8248036058535,-4300.363553304561,-2030.949147956836,-1556.9688554523989,-1214.3710523297398,-1024.8705479701766,-877.7060011491147,-776.4456470845796,-694.0549372487055,-633.1672275715396,-581.9444951873066,-543.6770834742576,-510.3754302766534,-486.87204461534316,-465.4799682964627,-453.36633844985477,-441.34737883746214,-438.4061316891903
